URGENT CALL TO ACTION = a statement calling for immediate attention including an action needed to be taken immediately or information that needs to be disseminated immediately OR critical: being in or verging on a state of crisis or emergency OR urgently needed OR absolutely necessary. The next actionable step is to take the urgent action ASAP or distribute the knowledge ASAP.
a.	HAS TO BE/ HAVE TO BE
1)	“the random effect models were used to give an estimate of the effect because <heterogeneity between multistudies and wider intervals HAS TO BE considered>.” [urgent call is to consider heterogeneity between mutlistudies and wider intervals
2)	“clinical experience on the use of hscs is limited, with transient benefit in severe refractory cd, and hampered by toxicities, thus <suggesting that this procedure HAS TO BE performed in highly experienced centers>[61].” [urgent call that this procedure needs to be performed in highly experienced centers]
3)	“<it HAS TO BE mentioned that the results of our copy-number analysis demonstrated a gain of chromosome 1q22>; however, homozygosity of the v78m variant observed in two of the crcs could nevertheless indicate that sema4a acts as a tumour suppressor rather than a proto-oncogene in the context of familial colorectal tumorigenesis.” [urgent call to mention that the results of our copy-number analysis demonstrated a gain of chromosome 1q22]
4)	“our finding that full-length mgf directly stimulates the igf-ir, challenges the current concept that the e-peptide of pro-igf-i HAS TO BE cleaved off from the igf-i molecule to become biologically active [13,14].” [a structural statement of results by elimination that the e-peptide of pro-igf-I must be cleaved off, not a statement that lays out a specific urgent call to action]
5)	“furthermore, a recessive ds gene does not imply that risk for hla alleles HAS TO BE confined to the hla homozygotes.” [a functional statement of results by elimination that the risk for hla alleles does not have to be confined to the hla homozygotes, not a statement that lays out a specific call to action that needs immediate attention that needs immediate attention]
6)	“other researches such as atomic layer deposition (ald) or magnetically-enhanced arc discharge were used for direct deposition of graphene while <limit quality of graphene and large scale production issues HAVE TO BE taken into account>1819.” [urgent call to take into account limit quality of graphene and large scale production issues]
7)	“biomarkers (e.g., related to the highly debated withdrawal symptoms) should also be explored and <cross-cultural comparisons HAVE TO BE made>.” [urgent call for cross-cultural comparisons to be made]
8)	“<the risks of radiation exposure always HAVE TO BE weighed against the therapeutic benefit>.” [urgent call that the risks of radiation exposure always be weighed against the therapeutic benefit]
9)	“yes, i think there is a strong focus on being healthy … it's like you HAVE TO BE lean to be successful.” [a response to a question about being healthy where you must be lean to be successful, not a statement that lays out a specific call to action that needs immediate attention]
10)	“EXAMPLE” [EXAMPLE]

b.	HIGHLY RECOMMENDEDS
16)	“<consumption of fluoridated water is HIGHLY RECOMMENDED>, and the regular use of fluoridated dentifrices is also an effective means of decreasing the prevalence of dental caries.” [urgent call for consumption of fluoridated water]
17)	“due to the hereditary transmission of this chromosomal abnormality, <cytogenetic analysis for all their siblings and genetic consultation before marriage is HIGHLY RECOMMENDED> (18).” [urgent call for cytogenetic analysis for all their siblings and genetic consultation before marriage]
18)	“overall, this is a HIGHLY RECOMMENDED book, written by specialists in their fields, offering a clear and concise overview of the basis for, and latest developments in, cardiovascular genomics and proteomics.” [the book is recommended to read, not a statement that lays out a specific call to action that needs immediate attention]
19)	“to obtain a final score, normative, reliability and validity ratings were combined to provide an overall rating of the scales as being either ‘HIGHLY RECOMMENDED’ (two as), ‘recommended’ (as and/or bs) or ‘not recommended’ (any fs) {hammill 1992, #381}” [a rating system to obtain the final scores which includes ‘highly recommended’, not a statement that lays out a specific call to action that needs immediate attention]
20)	“EXAMPLE” [EXAMPLE]
21)
c.	MANDATORY
1)	“the simplistic and rapidity nature of the poct system is beneficial in the acute care setting, where <the quick laboratory result is MANDATORY to guide clinical decisions and treatment strategy>.” [urgent call to have quick laboratory results to guide clinical decisions and treatment strategy]
2)	“<in order to assess quality, efficacy and safety of msc-based therapy, a novel approach to pharmacokinetics/pharmacodynamics (pk/pd) is MANDATORY>.” [urgent call for a novel approach to pk/pd in order to assess quality, efficacy and safety of msc-based therapy]
3)	“conceptually, our findings unravel the complexity of gene regulation, as regards key genes involved in the heterocellular cell adhesion between developing thymocytes and the major component of the thymic microenvironment, an interaction that is a MANDATORY event for proper intrathymic t cell differentiation.” [a functional statement of results that an interaction is necessary for proper intrathymic t cell differentiation, not a statement that lays out a specific call to action that needs immediate attention]
4)	“for determining these updates, one candidate model is fitted for each snp, corresponding to a set scand , j= { j }, j = r +1, …, r + l , where the estimates for the MANDATORY covariates and the snp parameter estimates from the previous boosting steps are included as a fixed offset.” [a methodological statement that needs the estimates for ‘mandatory covariates’, not a statement that lays out a specific call to action that needs immediate attention]
5)	“EXAMPLE” [EXAMPLE]
6)
d.	MUST/ MUST BE/ MUST…BE
1)	“arguably, <a patient MUST possess adequate opioid-related knowledge (eg, side effects, contraindications, proper handling, and storage) not only to control chronic pain, but also to manage opioid medication as prescribed by the physician>.” [urgent call for a patient to possess adequate opioid-related knowledge not only to control chronic pain, but also to manage opioid medication as prescribed by the physician]
2)	“to realize their full potential, <genomic approaches to transcriptional networks MUST go beyond a description of factor occupancy to include correlates of functionality>.” [urgent call for genomic approaches to transcriptional networks to go beyond a description of factor occupancy to include correlates of functionality]
3)	“therefore, <strategies MUST BE employed that allow de novo identification of genes and mechanisms specifically related to virulence>.” [urgent call for strategies to be employed that allow de novo identification of genes and mechanisms specifically related to virulence]
4)	“this suggests that <there MUST BE a mechanism by which it is possible to drive accommodation in each eye independently>, even if this is rarely necessary in the general population.” [urgent call to find a mechanism by which it is possible to drive accommodation in each eye independently]
5)	“<barriers to care seeking for illness MUST also BE addressed>.” [urgent call to address barriers to care seeking for illness]
6)	“replicated chromosomes MUST BE accurately segregated into each daughter cell during mitosis, and the spindle checkpoint is a surveillance mechanism that delays anaphase onset until all chromosomes are correctly attached in a bipolar fashion to the mitotic spindle59.” [a structural statement about the biology of replicated chromosomes, not a statement that lays out a specific call to action that needs immediate attention]
7)	“it appears that acetylation at a conserved lysine k40 on tubulin MUST BE tightly regulated for movement of organelles mediated by the molecular motors kinesin and dynein.153undoubtedly, this is especially important for neurons that must transport cargo along long distances.” [a structural statement about the biology of acetylation at a conserved lysine k40 on tubulin and neurons, not a statement that lays out a specific call to action that needs immediate attention]
8)	“it appears that acetylation at a conserved lysine k40 on tubulin must be tightly regulated for movement of organelles mediated by the molecular motors kinesin and dynein.153undoubtedly, this is especially important for neurons that MUST transport cargo along long distances.” [a structural statement about neurons that need to transport cargo along long distances, not a statement that lays out a specific call to action that needs immediate attention]
9)	“EXAMPLE” [EXAMPLE]
10)
e.	CALL/ CALL TO ACT
1)	“<they appropriately CALL for prioritizing investment in evaluation of promising interventions> [23], hopefully as a pre-requisite to routine screening.” [urgent call for prioritizing investment in evaluation or promising interventions]
2)	“nevertheless, <CALLs for implementing ace screening persist> (e.g., a bill [h.299] before the vermont general assembly proposing widespread use of ace screening in that state) [19].” [urgent calls for implementing ace screening persist and are needed]
3)	“potential participants were asked to contact the study team by telephone or email to check eligibility, and a follow‐up telephone CALL was arranged for those making contact by email.” [a phone call, not a statement that lays out a specific call to action that needs immediate attention]
4)	“peaks are CALLed where the corrected read density exceeds the threshold.” [a methodological statement about the definition of peaks: where the corrected read density exceeds the threshold, not a statement that lays out a specific call to action that needs immediate attention]
5)	“he closure of this sci research priority setting partnership has led to a <CALL TO ACTion: sci researchers should take on the priorities identified in this partnership, design appropriate studies and convince funding organisations about the best ways of achieving scientific progress in these identified areas of research>.” [urgent calls for sci researchers to take on the priorities identified in this partnership, design appropriate studies and convince funding organizations about the best ways of achieving scientific progress in these identified areas of research]
6)	“<this is the first time bd has been confirmed in amphibians from madagascar and presents an URGENT CALL TO ACTION>.” [urgent call to understand and eradicate bd in amphibians from Madagascar]
7)	“<he closes with an URGENT CALL TO ACTION in the context of climate change and global environmental challenges to create a coalition between the policy makers and the people>.” [urgent call in the context of climate change and global environmental challenges to create a coalition between the policy makers and the people]
8)	“the first was simplification - the letter was shortened to two, one sentence paragraphs plus a headline CALL TO ACTion to improve readability and reduce complexity.” [the headline of the letter was ‘call to action’, not a statement that lays out a specific call to action that needs immediate attention]
9)	“weakness in the icu: a CALL TO ACTion” [the title of the article, not a statement that lays out a specific call to action that needs immediate attention (in the article most likely)]
10)	“EXAMPLE” [EXAMPLE]
11)
f.	CAUSE FOR CONCERN
1)	“on their own, ideals of manhood are not all harmful, however <in the era of promoting hiv prevention and gender equity, certain elements of male ideology are a CAUSE FOR CONCERN>, for instance, male toughness and virility are offset against expectations that men fulfill the protector role and can translate into risky sexual and anti-social practices.” [urgent call to rethink certain elements of male ideology in the era of promoting hiv prevention and gender equity including male toughness and virility]
2)	“based on this, <there is CAUSE FOR CONCERN that although the ba treatment may remove the humic acids, it may have an adverse effect on the δ13c value of the sample>.” [urgent call to rethink ba treatment because although the ba treatment may remove the humic acids, it may have an adverse effect on the δ13c value of the sample]
3)	“<the prevalence of elevated blood pressure is a CAUSE FOR CONCERN in ethiopia as in other african countries>.” [urgent call to rethink/ understand the prevalence of elevated blood pressure in Ethiopia as in other African countries]
4)	“compared with these other efforts, the rx weight loss approach may incur fewer problems with cost, reach, accessibility, and long-term sustainability that have been a CAUSE FOR CONCERN with programs delivered in-person (11).” [a results statement that the rx weight loss approach seems to quench the causes for concern with programs delivered in person, not a statement that lays out a specific call to action that needs immediate attention]
5)	“six to eight millimeters of gingival exposure was seen in the incisor region during wide smile which was the main CAUSE FOR CONCERN for the patient.” [a patient diagnoses that was the main cause for concern by the patient, not a statement that lays out a specific call to action that needs immediate attention]
6)	“EXAMPLE” [EXAMPLE]
7)
g.	CRISIS/ CRITICAL/ CRITICALLY/ CRUCIAL
1)	“<this looming and global human resources (hr) CRISIS is the culmination of shortages of physicians, nurses, allied professionals, support workers and administrators>.” [urgent call to combat this looming and global human resources (hr) crisis of shortages of physicians, nurses, allied professionals, support workers and administrators]
2)	“<auckland is a rapidly growing city that is experiencing a housing CRISIS>.” [urgent call to combat auckland’s housing crisis due its rapid growth]
3)	“here where natural disasters and CRISIS management remain a major public policy concerns, the government has been trying to improve disaster management for many years.” [natural disaster and crisis management in general, not a statement that lays out a specific call to action that needs immediate attention]
4)	“acute splenic sequestration CRISIS (assc) is a form of hypovolemic and anaemic crisis, based on massive splenic enlargement due to accumulation and trapment of sickle-shaped cells [13].” [a medical condition definition of ‘acute splenic sequestration crisis’, not a statement that lays out a call to action that needs immediate attention]
5)	“there is no debate about the deleterious impact of violence and other adverse psychosocial exposures on health status, but <the CRITICAL question remains: what is the value of routine screening in primary care for such exposures?>” [urgent call to answer the question: what is the value of routine screening in primary care for such exposures?]
6)	“<the need to examine the evidence for this type of screening is just as CRITICAL as the ongoing research about the effectiveness of routine prostate specific antigen screening for prostate cancer or mammography screening for breast cancer>.” [urgent call to examine the evidence for this type of screening just like the ongoing research about the effectiveness of routine prostate specific antigen screening for prostate cancer or mammography screening for breast cancer]
