LEXICAL CUE	SYNONYMS	IGNORANCE TYPE
a_better_method	a_better_method	FUTURE_WORK
a_good_understanding	a_good_understanding	INCOMPLETE_EVIDENCE
a_range_of_studies	a_range_of_studies	INCOMPLETE_EVIDENCE
absence_of	absence_of	FULL_UNKNOWN
absence_of...evidence	absence_of.{0,14}evidence	INCOMPLETE_EVIDENCE
accompanied	accompanied	SUPERFICIAL_RELATIONSHIP
accordingly	accordingly	INCOMPLETE_EVIDENCE
accounts_for	accounts_for	INCOMPLETE_EVIDENCE
accumulating_evidence_has_shown	accumulating_evidence_has_shown	INCOMPLETE_EVIDENCE
active_research	active_research	INCOMPLETE_EVIDENCE
additional...data	additional.{0,15}data	FUTURE_WORK
additional_hypotheses	additional_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
additional_research	additional_research	FUTURE_WORK
additional_research_is_needed	additional_research_is_needed	FUTURE_WORK
additional_studies...are...needed	additional_studies.{0,68}are.{0,9}needed	FUTURE_WORK
additional_studies_are_needed	additional_studies_are_needed	FUTURE_WORK
adds_to_the...literature	adds_to_the.{0,17}literature	INCOMPLETE_EVIDENCE
adjustment_is_needed	adjustment_is_needed	FUTURE_WORK
advise	advise	FUTURE_WORK
advocate	advocate	FUTURE_WORK
affect	affect	SUPERFICIAL_RELATIONSHIP
affected	affected	SUPERFICIAL_RELATIONSHIP
affecting	affecting	SUPERFICIAL_RELATIONSHIP
affects	affects	SUPERFICIAL_RELATIONSHIP
aim	aim	QUESTION_ANSWERED_BY_THIS_WORK
aim_to	aim_to	FUTURE_WORK
aimed	aimed	QUESTION_ANSWERED_BY_THIS_WORK
aims	aims	QUESTION_ANSWERED_BY_THIS_WORK
alarmingly	alarmingly	ANOMALY_CURIOUS_FINDING
allow	allow	FUTURE_PREDICTION
alone_cannot	alone_cannot	INCOMPLETE_EVIDENCE
along_this_line	along_this_line	INCOMPLETE_EVIDENCE
also_shown	also_shown	INCOMPLETE_EVIDENCE
alternate_hypotheses	alternate_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
alternately	alternately	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative	alternative	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_approach	alternative_approach	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_approaches	alternative_approaches	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_hypotheses	alternative_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_options_controversy	alternative_options_controversy	ALTERNATIVE_OPTIONS_CONTROVERSY
alternatively	alternatively	ALTERNATIVE_OPTIONS_CONTROVERSY
although	although	ANOMALY_CURIOUS_FINDING
another_trial	another_trial	INCOMPLETE_EVIDENCE
apparent	apparent	ANOMALY_CURIOUS_FINDING
appear	appear	ANOMALY_CURIOUS_FINDING
