LEXICAL CUE	SYNONYMS	IGNORANCE TYPE
a_good_understanding	a_good_understanding	INCOMPLETE_EVIDENCE
absence_of...evidence	absence_of.{0,14}evidence	INCOMPLETE_EVIDENCE
accompanied	accompanied	SUPERFICIAL_RELATIONSHIP
accumulating_evidence_has_shown	accumulating_evidence_has_shown	INCOMPLETE_EVIDENCE
active_research	active_research	INCOMPLETE_EVIDENCE
additional...data	additional.{0,15}data	FUTURE_WORK
additional_hypotheses	additional_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
additional_research	additional_research	FUTURE_WORK
additional_research_is_needed	additional_research_is_needed	FUTURE_WORK
additional_studies...are...needed	additional_studies.{0,68}are.{0,9}needed	FUTURE_WORK
additional_studies_are_needed	additional_studies_are_needed	FUTURE_WORK
adjustment_is_needed	adjustment_is_needed	FUTURE_WORK
advocate	advocate	FUTURE_WORK
affect	affect	SUPERFICIAL_RELATIONSHIP
affected	affected	SUPERFICIAL_RELATIONSHIP
affecting	affecting	SUPERFICIAL_RELATIONSHIP
affects	affects	SUPERFICIAL_RELATIONSHIP
aim	aim	QUESTION_ANSWERED_BY_THIS_WORK
aimed	aimed	QUESTION_ANSWERED_BY_THIS_WORK
aims	aims	QUESTION_ANSWERED_BY_THIS_WORK
alone_cannot	alone_cannot	INCOMPLETE_EVIDENCE
along_this_line	along_this_line	INCOMPLETE_EVIDENCE
alternate_hypotheses	alternate_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative	alternative	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_approach	alternative_approach	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_approaches	alternative_approaches	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_hypotheses	alternative_hypotheses	ALTERNATIVE_OPTIONS_CONTROVERSY
alternative_options_controversy	alternative_options_controversy	ALTERNATIVE_OPTIONS_CONTROVERSY
alternatively	alternatively	ALTERNATIVE_OPTIONS_CONTROVERSY
although	although	ANOMALY_CURIOUS_FINDING
apparent	apparent	ANOMALY_CURIOUS_FINDING
appear	appear	ANOMALY_CURIOUS_FINDING
appear_to_be	appear_to_be	ANOMALY_CURIOUS_FINDING
appearance	appearance	ANOMALY_CURIOUS_FINDING
appeared	appeared	ANOMALY_CURIOUS_FINDING
appeared_to	appeared_to	ANOMALY_CURIOUS_FINDING
appeared_to_be	appeared_to_be	ANOMALY_CURIOUS_FINDING
appears	appears	ANOMALY_CURIOUS_FINDING
appears_to_be	appears_to_be	ANOMALY_CURIOUS_FINDING
approach_that_considers	approach_that_considers	FUTURE_WORK
are_needed	are_needed	FUTURE_WORK
are_warranted	are_warranted	FUTURE_WORK
argued	argued	INCOMPLETE_EVIDENCE
argues	argues	INCOMPLETE_EVIDENCE
asked	asked	EXPLICIT_QUESTION
assessed	assessed	QUESTION_ANSWERED_BY_THIS_WORK
associate	associate	SUPERFICIAL_RELATIONSHIP
associated	associated	SUPERFICIAL_RELATIONSHIP
associated...or	associated.{0,38}or	SUPERFICIAL_RELATIONSHIP
associates	associates	SUPERFICIAL_RELATIONSHIP
association	association	SUPERFICIAL_RELATIONSHIP
associations	associations	SUPERFICIAL_RELATIONSHIP
assumption	assumption	ALTERNATIVE_OPTIONS_CONTROVERSY
at_least	at_least	PROBABLE_UNDERSTANDING
attention	attention	FUTURE_WORK
attracted_attention	attracted_attention	INCOMPLETE_EVIDENCE
attracted_increasing_interest	attracted_increasing_interest	INCOMPLETE_EVIDENCE
attributed	attributed	SUPERFICIAL_RELATIONSHIP
available_evidence	available_evidence	INCOMPLETE_EVIDENCE
aware	aware	IMPORTANT_CONSIDERATION
be_examined	be_examined	INCOMPLETE_EVIDENCE
belief	belief	INCOMPLETE_EVIDENCE
beliefs	beliefs	ALTERNATIVE_OPTIONS_CONTROVERSY
believe	believe	INCOMPLETE_EVIDENCE
believed	believed	INCOMPLETE_EVIDENCE
better_understand	better_understand	INCOMPLETE_EVIDENCE
better_understanding	better_understanding	INCOMPLETE_EVIDENCE
bias	bias	INCOMPLETE_EVIDENCE
burdens	burdens	PROBLEM_COMPLICATION
but_only	but_only	ANOMALY_CURIOUS_FINDING
but_others	but_others	ALTERNATIVE_OPTIONS_CONTROVERSY
call	call	IMPORTANT_CONSIDERATION
call_to_act	call_to_act	IMPORTANT_CONSIDERATION
calls_into_question	calls_into_question	ALTERNATIVE_OPTIONS_CONTROVERSY
can	can	EXPLICIT_QUESTION
can_be_regarded_as	can_be_regarded_as	INCOMPLETE_EVIDENCE
candidate	candidate	INCOMPLETE_EVIDENCE
candidates	candidates	INCOMPLETE_EVIDENCE
cannot_agree	cannot_agree	ALTERNATIVE_OPTIONS_CONTROVERSY
cannot_be	cannot_be	DIFFICULT_TASK
cannot_be_deemed	cannot_be_deemed	DIFFICULT_TASK
cannot_rule_out	cannot_rule_out	ALTERNATIVE_OPTIONS_CONTROVERSY
cause_for_concern	cause_for_concern	IMPORTANT_CONSIDERATION
caution	caution	INCOMPLETE_EVIDENCE
center_of_attention	center_of_attention	INCOMPLETE_EVIDENCE
challenge	challenge	DIFFICULT_TASK
challenges	challenges	DIFFICULT_TASK
challenging	challenging	DIFFICULT_TASK
claimed	claimed	INCOMPLETE_EVIDENCE
claims	claims	ALTERNATIVE_OPTIONS_CONTROVERSY
clearly_demonstrating	clearly_demonstrating	PROBABLE_UNDERSTANDING
closer_scrutiny	closer_scrutiny	INCOMPLETE_EVIDENCE
clue	clue	INCOMPLETE_EVIDENCE
clues	clues	INCOMPLETE_EVIDENCE
coincide	coincide	SUPERFICIAL_RELATIONSHIP
compelling_evidence	compelling_evidence	INCOMPLETE_EVIDENCE
complex	complex	DIFFICULT_TASK
complexities	complexities	DIFFICULT_TASK
complexity	complexity	DIFFICULT_TASK
complicated	complicated	DIFFICULT_TASK
complicating	complicating	DIFFICULT_TASK
complication	complication	PROBLEM_COMPLICATION
complications	complications	PROBLEM_COMPLICATION
conceivably	conceivably	INCOMPLETE_EVIDENCE
concern	concern	PROBLEM_COMPLICATION
concerning	concerning	PROBLEM_COMPLICATION
concerns	concerns	PROBLEM_COMPLICATION
confirm	confirm	INCOMPLETE_EVIDENCE
confirm_findings	confirm_findings	INCOMPLETE_EVIDENCE
confirm_previous_findings	confirm_previous_findings	INCOMPLETE_EVIDENCE
conflict	conflict	ALTERNATIVE_OPTIONS_CONTROVERSY
conflicted	conflicted	ALTERNATIVE_OPTIONS_CONTROVERSY
conflicting	conflicting	ALTERNATIVE_OPTIONS_CONTROVERSY
confounded	confounded	DIFFICULT_TASK
confounders	confounders	PROBLEM_COMPLICATION
confused	confused	DIFFICULT_TASK
conjecture	conjecture	INCOMPLETE_EVIDENCE
connected	connected	SUPERFICIAL_RELATIONSHIP
connection	connection	SUPERFICIAL_RELATIONSHIP
consider	consider	FUTURE_WORK
considerable	considerable	ANOMALY_CURIOUS_FINDING
considerable...relevance	considerable.{0,13}relevance	IMPORTANT_CONSIDERATION
considerable_efforts	considerable_efforts	INCOMPLETE_EVIDENCE
considerable_scientific_evidence	considerable_scientific_evidence	INCOMPLETE_EVIDENCE
consideration	consideration	FUTURE_WORK
considerations	considerations	FUTURE_WORK
considered	considered	FUTURE_WORK
considered_reliable	considered_reliable	INCOMPLETE_EVIDENCE
consistent	consistent	INCOMPLETE_EVIDENCE
consistently	consistently	PROBABLE_UNDERSTANDING
continue_to_explore	continue_to_explore	FUTURE_WORK
continued_studies	continued_studies	FUTURE_WORK
continuing_efforts	continuing_efforts	FUTURE_WORK
contradicting	contradicting	ALTERNATIVE_OPTIONS_CONTROVERSY
contradictory	contradictory	ALTERNATIVE_OPTIONS_CONTROVERSY
contrary	contrary	ALTERNATIVE_OPTIONS_CONTROVERSY
contrasting	contrasting	ALTERNATIVE_OPTIONS_CONTROVERSY
contributes	contributes	SUPERFICIAL_RELATIONSHIP
contribution	contribution	SUPERFICIAL_RELATIONSHIP
controversial	controversial	ALTERNATIVE_OPTIONS_CONTROVERSY
controversies	controversies	ALTERNATIVE_OPTIONS_CONTROVERSY
conversely	conversely	ALTERNATIVE_OPTIONS_CONTROVERSY
correlate	correlate	SUPERFICIAL_RELATIONSHIP
correlated	correlated	SUPERFICIAL_RELATIONSHIP
correlates	correlates	SUPERFICIAL_RELATIONSHIP
correlation	correlation	SUPERFICIAL_RELATIONSHIP
correlations	correlations	SUPERFICIAL_RELATIONSHIP
corresponded	corresponded	SUPERFICIAL_RELATIONSHIP
could	could	INCOMPLETE_EVIDENCE
could...and_or	could.{0,50}and_or	INCOMPLETE_EVIDENCE
could_be	could_be	INCOMPLETE_EVIDENCE
could_be_included_in_other_studies	could_be_included_in_other_studies	FUTURE_WORK
could_not	could_not	DIFFICULT_TASK
could_not_be_assessed	could_not_be_assessed	DIFFICULT_TASK
could_not_determine	could_not_determine	FULL_UNKNOWN
counterintuitive	counterintuitive	ANOMALY_CURIOUS_FINDING
countervailing	countervailing	ALTERNATIVE_OPTIONS_CONTROVERSY
credited	credited	INCOMPLETE_EVIDENCE
crisis	crisis	IMPORTANT_CONSIDERATION
critical	critical	IMPORTANT_CONSIDERATION
critically	critically	IMPORTANT_CONSIDERATION
criticized	criticized	ALTERNATIVE_OPTIONS_CONTROVERSY
crucial	crucial	IMPORTANT_CONSIDERATION
curious_finding	curious_finding	ANOMALY_CURIOUS_FINDING
current_research_provides_evidence	current_research_provides_evidence	INCOMPLETE_EVIDENCE
data...are_sparse	data.{0,14}are_sparse	INCOMPLETE_EVIDENCE
data...is_sparse	data.{0,11}is_sparse	INCOMPLETE_EVIDENCE
data...limited	data.{0,57}limited	INCOMPLETE_EVIDENCE
data_are_limited	data_are_limited	INCOMPLETE_EVIDENCE
data_gap	data_gap	FULL_UNKNOWN
data_is_lacking	data_is_lacking	INCOMPLETE_EVIDENCE
debate	debate	ALTERNATIVE_OPTIONS_CONTROVERSY
debated	debated	ALTERNATIVE_OPTIONS_CONTROVERSY
defining	defining	INCOMPLETE_EVIDENCE
depending_on	depending_on	ALTERNATIVE_OPTIONS_CONTROVERSY
designed_to	designed_to	QUESTION_ANSWERED_BY_THIS_WORK
despite	despite	ANOMALY_CURIOUS_FINDING
did_not_allow	did_not_allow	DIFFICULT_TASK
did_not_find	did_not_find	INCOMPLETE_EVIDENCE
differ	differ	ALTERNATIVE_OPTIONS_CONTROVERSY
differences	differences	ALTERNATIVE_OPTIONS_CONTROVERSY
difficult	difficult	DIFFICULT_TASK
difficulties	difficulties	DIFFICULT_TASK
difficulty	difficulty	DIFFICULT_TASK
dilemmas	dilemmas	ALTERNATIVE_OPTIONS_CONTROVERSY
directed_towards	directed_towards	IMPORTANT_CONSIDERATION
directions_for_future_research	directions_for_future_research	FUTURE_WORK
disconnect	disconnect	ALTERNATIVE_OPTIONS_CONTROVERSY
discord	discord	ALTERNATIVE_OPTIONS_CONTROVERSY
discordance	discordance	ALTERNATIVE_OPTIONS_CONTROVERSY
discovered	discovered	INCOMPLETE_EVIDENCE
discrepancies	discrepancies	ALTERNATIVE_OPTIONS_CONTROVERSY
discrepancy	discrepancy	ALTERNATIVE_OPTIONS_CONTROVERSY
disparities	disparities	ALTERNATIVE_OPTIONS_CONTROVERSY
disparity	disparity	ANOMALY_CURIOUS_FINDING
disproportionately	disproportionately	ANOMALY_CURIOUS_FINDING
dispute	dispute	ALTERNATIVE_OPTIONS_CONTROVERSY
do_not_fully	do_not_fully	INCOMPLETE_EVIDENCE
do_not_support	do_not_support	ALTERNATIVE_OPTIONS_CONTROVERSY
does	does	EXPLICIT_QUESTION
does_not_occur	does_not_occur	DIFFICULT_TASK
dont_know	dont_know	FULL_UNKNOWN
doubt	doubt	ALTERNATIVE_OPTIONS_CONTROVERSY
due_to	due_to	PROBLEM_COMPLICATION
earlier_studies	earlier_studies	INCOMPLETE_EVIDENCE
easily_confused	easily_confused	DIFFICULT_TASK
effect	effect	SUPERFICIAL_RELATIONSHIP
effects	effects	SUPERFICIAL_RELATIONSHIP
either	either	ALTERNATIVE_OPTIONS_CONTROVERSY
eludes	eludes	FULL_UNKNOWN
emerges	emerges	INCOMPLETE_EVIDENCE
emerging	emerging	INCOMPLETE_EVIDENCE
emerging_field	emerging_field	INCOMPLETE_EVIDENCE
emerging_knowledge	emerging_knowledge	INCOMPLETE_EVIDENCE
emerging_research	emerging_research	INCOMPLETE_EVIDENCE
emphasis	emphasis	IMPORTANT_CONSIDERATION
empirical_support	empirical_support	INCOMPLETE_EVIDENCE
encourage	encourage	FUTURE_WORK
encourage_more_research	encourage_more_research	FUTURE_WORK
encouraged	encouraged	FUTURE_WORK
equivocal	equivocal	ALTERNATIVE_OPTIONS_CONTROVERSY
