TOKEN	TRUE	PREDICTED
Prokaryote	O	O
genomes	O	O
contain	O	O
only	O	O
10	O	O
%	O	O
ncDNA	O	O
,	O	O
more	O	O
complex	O	O
fungi	O	O
and	O	O
animals	O	O
>	O	O
50	O	O
%,	O	O
rising	O	O
to	O	O
>	O	O
98	O	O
%	O	O
in	O	O
complex	O	O
mammals	O	O
(	O	O
including	O	O
mice	O	O
and	O	O
humans	O	O
)	O	O
(	O	O
Carey2011	O	O
).	O	O

Women	O	O
in	O	O
the	O	O
highest	O	O
quartile	O	O
of	O	O
adherence	O	O
to	O	O
traditional	O	O
dietary	O	O
pattern	O	O
were	O	O
20	O	O
%	O	O
less	O	O
likely	O	O
to	O	O
have	O	O
short	O	O
height	O	O
infant	O	O
compared	O	O
with	O	O
those	O	O
in	O	O
the	O	O
lowest	O	O
quartile	O	O
[	O	O
OR	O	O
0	O	O
.	O	O
80	O	O
,	O	O
95	O	O
%	O	O
(	O	O
CI	O	O
)	O	O
(	O	O
0	O	O
.	O	O
34	O	O
-	O	O
1	O	O
.	O	O
85	O	O
),	O	O
P	O	O
<	O	O
0	O	O
.	O	O
93	O	O
]	O	O
in	O	O
the	O	O
final	O	O
adjusted	O	O
model	O	O
.	O	O

Rats	O	O
exposed	O	O
to	O	O
low	O	O
prenatal	O	O
vitamin	O	O
D	O	O
have	O	O
a	O	O
broad	O	O
range	O	O
of	O	O
neurobiological	O	O
outcomes	O	O
that	O	O
are	O	O
informative	O	O
for	O	O
schizophrenia	O	O
research	O	O
.	O	O

Exposure	O	O
to	O	O
the	O	O
sun	O	O
during	O	O
week	O	O
and	O	O
weekend	O	O
days	O	O
,	O	O
and	O	O
consumption	O	O
of	O	O
milk	O	O
and	O	O
dairy	O	O
products	O	O
were	O	O
not	O	O
associated	O	O
with	O	O
either	O	O
severe	O	O
or	O	O
normal	O	O
vitamin	O	O
D	O	O
deficiency	O	O
.	O	O
10	O	O
.	O	O
1371	O	O
/	O	O
journal	O	O
.	O	O
pone	O	O
.	O	O
0043868	O	O
.	O	O
t005	O	O
Caption	O	O
(	O	O
TABLE	O	O
-	O	O
WRAP	O	O
):	O	O
TABLE	O	O
5	O	O
Risk	O	O
of	O	O
severe	O	O
vitamin	O	O
D	O	O
deficiency	O	O
during	O	O
pregnancy	O	O
in	O	O
Belgium	O	O
(	O	O
25	O	O
-(	O	O
OH	O	O
)	O	O
D	O	O
<	O	O
10	O	O
ng	O	O
/	O	O
ml	O	O
)	O	O
(	O	O
n	O	O
=	O	O
1121	O	O
),	O	O
results	O	O
of	O	O
multiple	O	O
logistic	O	O
regressions	O	O
.	O	O
N	O	O
of	O	O
subjectsN	O	O
of	O	O
severe	O	O
deficient	O	O
casesOR	O	O
[	O	O
95	O	O
%	O	O
Conf	O	O
Interval	O	O
]	O	O
p	O	O
Trimester	O	O
of	O	O
pregnancy	O	O
first	O	O
trimester633741	O	O
.	O	O
000third	O	O
trimester665841	O	O
.	O	O
7511	O	O
.	O	O
1282	O	O
.	O	O
7190	O	O
.	O	O
013	O	O
Season	O	O
Winter470891	O	O
.	O	O
000Spring384350	O	O
.	O	O
2830	O	O
.	O	O
1680	O	O
.	O	O
477	O	O
<	O	O
0	O	O
.	O	O
001Summer930Autumn351340	O	O
.	O	O
3240	O	O
.	O	O
1910	O	O
.	O	O
551	O	O
<	O	O
0	O	O
.	O	O
001	O	O
Smoking	O	O
Yes219331	O	O
.	O	O
000No10781250	O	O
.	O	O
4630	O	O
.	O	O
2680	O	O
.	O	O
8010	O	O
.	O	O
006	O	O
Alcohol	O	O
consumption	O	O
Yes264131	O	O
.	O	O
000No10221432	O	O
.	O	O
3701	O	O
.	O	O
1624	O	O
.	O	O
8340	O	O
.	O	O
018	O	O
Use	O	O
of	O	O
multivitamins	O	O
containing	O	O
vitamin	O	O
D	O	O
No4891151	O	O
.	O	O
000Yes809430	O	O
.	O	O
1210	O	O
.	O	O
0750	O	O
.	O	O
193	O	O
<	O	O
0	O	O
.	O	O
001	O	O
Ethnicity	O	O
Caucasian	O	O
,	O	O
white955691	O	O
.	O	O
000Asiatic3396	O	O
.	O	O
6562	O	O
.	O	O
41318	O	O
.	O	O
359	O	O
<	O	O
0	O	O
.	O	O
001African	O	O
,	O	O
black64132	O	O
.	O	O
6051	O	O
.	O	O
1515	O	O
.	O	O
8960	O	O
.	O	O
022African	O	O
,	O	O
north174638	O	O
.	O	O
1744	O	O
.	O	O
71214	O	O
.	O	O
177	O	O
<	O	O
0	O	O
.	O	O
001	O	O
Frequency	O	O
fatty	O	O
fish	O	O
consumption	O	O
Never192181	O	O
.	O	O
000Less	O	O
than	O	O
once	O	O
a	O	O
month188242	O	O
.	O	O
2051	O	O
.	O	O
0104	O	O
.	O	O
8160	O	O
.	O	O
0471	O	O
–	O	O
3	O	O
days	O	O
a	O	O
month498591	O	O
.	O	O
4810	O	O
.	O	O
7552	O	O
.	O	O
9040	O	O
.	O	O
2541	O	O
day	O	O
per	O	O
week291351	O	O
.	O	O
3910	O	O
.	O	O
6712	O	O
.	O	O
8850	O	O
.	O	O
3752	O	O
–	O	O
4	O	O
days	O	O
a	O	O
week	O	O
or	O	O
more	O	O
frequent128221	O	O
.	O	O
5130	O	O
.	O	O
6593	O	O
.	O	O
4720	O	O
.	O	O
328	O	O
Use	O	O
of	O	O
sunscreen	O	O
lotion	O	O
Yes	O	O
,	O	O
much	O	O
of	O	O
the	O	O
time644361	O	O
.	O	O
000Yes	O	O
,	O	O
sometimes281342	O	O
.	O	O
0871	O	O
.	O	O
1713	O	O
.	O	O
7220	O	O
.	O	O
013No368883	O	O
.	O	O
2631	O	O
.	O	O
9355	O	O
.	O	O
504	O	O
<	O	O
0	O	O
.	O	O
001	O	O
Preference	O	O
sun	O	O
/	O	O
shadow	O	O
Sun476531	O	O
.	O	O
000Shadow497701	O	O
.	O	O
9831	O	O
.	O	O
2253	O	O
.	O	O
2100	O	O
.	O	O
005Does	O	O
not	O	O
matter321351	O	O
.	O	O
2060	O	O
.	O	O
6912	O	O
.	O	O
1040	O	O
.	O	O
510	O	O
OR	O	O
Odds	O	O
ratio	O	O
.	O	O

To	O	O
investigate	O	O
the	O	O
association	O	O
between	O	O
dietary	O	O
patterns	O	O
and	O	O
neonatal	O	O
anthropometric	O	O
measurements	O	O
,	O	O
we	O	O
used	O	O
multivariable	O	O
logistic	O	O
regression	O	O
models	O	O
controlled	O	O
for	O	O
energy	O	O
intake	O	O
,	O	O
age	O	O
,	O	O
and	O	O
BMI	O	O
.	O	O

Our	O	O
study	O	O
was	O	O
implicitly	O	O
limited	O	O
to	O	O
congenital	O	O
cryptorchidism	O	O
because	O	O
the	O	O
literature	O	O
search	O	O
did	O	O
not	O	O
yield	O	O
any	O	O
case	O	O
–	O	O
control	O	O
or	O	O
cohort	O	O
studies	O	O
that	O	O
addressed	O	O
the	O	O
question	B	B
of	O	O
prenatal	O	O
exposure	O	O
to	O	O
estrogenic	O	O
compounds	O	O
and	O	O
acquired	O	O
cryptorchidism	O	O
in	O	O
humans	O	O
.	O	O

Asthma	O	O
Certain	O	O
physiological	O	O
changes	O	O
occur	O	O
normally	O	O
during	O	O
pregnancy	O	O
(	O	O
Table2	O	O
)	O	O
[	O	O
17	O	O
].	O	O

In	O	O
an	O	O
adjusted	O	O
analysis	O	O
,	O	O
maternal	O	O
dairy	O	O
intake	O	O
was	O	O
associated	O	O
with	O	O
infant	O	O
stool	O	O
microbiome	O	O
composition	O	O
(	O	O
generalized	O	O
UniFrac	O	O
distance	O	O
PERMANOVA	O	O
,	O	O
p	O	O
=	O	O
0	O	O
.	O	O
034	O	O
;	O	O
Fig	O	O
.	O	O

PubMed	O	O
Central	O	O
:	O	O

These	O	O
agents	O	O
include	O	O
terbutaline	O	O
,	O	O
which	O	O
is	O	O
commonly	O	O
used	O	O
as	O	O
a	O	O
tocolytic	O	O
and	O	O
a	O	O
bronchodilator	O	O
in	O	O
obstetrics	O	O
.	O	O

Asthma	O	O
,	O	O
allergies	O	O
,	O	O
and	O	O
other	O	O
atopic	O	O
diseases	O	O
have	O	O
been	O	O
inversely	O	O
associated	O	O
with	O	O
adult	O	O
glioma	O	O
risk	O	O
in	O	O
several	O	O
epidemiologic	O	O
studies	O	O
and	O	O
meta	O	O
-	O	O
analyses	O	O
[	O	O
83	O	O
–	O	O
93	O	O
],	O	O
although	O	O
some	O	O
reports	O	O
do	O	O
not	O	O
support	O	O
this	O	O
conclusion	O	O
[	O	O
94	O	O
–	O	O
98	O	O
].	O	O

Bonferrroni	O	O
post	O	O
-	O	O
hoc	O	O
test	O	O
:*/**/***	O	O
P	O	O
<	O	O
0	O	O
.	O	O
05	O	O
/	O	O
0	O	O
.	O	O
01	O	O
/	O	O
0	O	O
.	O	O
001	O	O
vs	O	O
.	O	O
CC	O	O
males	O	O
;#/##/###	O	O
P	O	O
<	O	O
0	O	O
.	O	O
05	O	O
/	O	O
0	O	O
.	O	O
01	O	O
/	O	O
0	O	O
.	O	O
001	O	O
vs	O	O
.	O	O
CC	O	O
females	O	O
;$	O	O
P	O	O
<	O	O
0	O	O
.	O	O
05	O	O
vs	O	O
.	O	O
RC	O	O
males	O	O
.	O	O

It	O	O
is	O	O
worth	O	O
noting	O	O
,	O	O
however	O	O
