TOKEN	TRUE	PREDICTED
Diet	O	O
The	O	O
“	O	O
developmental	O	O
plasticity	O	O
hypothesis	O	O
”	O	O
refers	O	O
to	O	O
the	O	O
critical	O	O
developmental	O	O
period	O	O
in	O	O
utero	O	O
when	O	O
the	O	O
fetus	O	O
is	O	O
plastic	O	O
and	O	O
adaptively	O	O
imprints	O	O
to	O	O
its	O	O
environment	O	O
.	O	O

due	O	O
to	O	O
the	O	O
change	O	O
in	O	O
the	O	O
diet	O	O
of	O	O
pregnant	O	O
women	O	O
.	O	O

This	O	O
racial	O	O
difference	O	O
may	O	O
reflect	O	O
an	O	O
impact	O	O
on	O	O
pet	O	O
owner	O	O
behavior	O	O
resulting	O	O
in	O	O
increased	O	O
outdoor	O	O
exposure	O	O
that	O	O
is	O	O
limited	O	O
to	O	O
lighter	O	O
skinned	O	O
individuals	O	O
.	O	O

However	O	O
,	O	O
inconsistencies	O	O
between	O	O
studies	O	O
reflect	O	O
uncertainty	B	B
about	O	O
the	O	O
true	O	O
effect	O	O
of	O	O
vitamin	O	O
D	O	O
deficiency	O	O
on	O	O
pregnancy	O	O
outcome	O	O
[	O	O
5	O	O
,	O	O
6	O	O
].	O	O

The	O	O
statistical	O	O
calculation	O	O
involved	O	O
is	O	O
the	O	O
linear	O	O
multiple	O	O
regression	O	O
:	O	O
fixed	O	O
model	O	O
,	O	O
single	O	O
regression	O	O
coefficient	O	O
.	O	O

1	O	O
).	O	O

The	O	O
appropriate	O	O
age	O	O
for	O	O
,	O	O
and	O	O
duration	O	O
of	O	O
,	O	O
vitamin	O	O
A	O	O
deple	O	O
tion	O	O
or	O	O
supplementation	O	O
have	O	O
been	O	O
suggested	O	O
as	O	O
important	O	O
factors	O	O
that	O	O
affect	O	O
MS	O	O
.	O	O
Oka	O	O
et	O	O
al	O	O
[	O	O
134	O	O
]	O	O
reported	O	O
that	O	O
restricting	O	O
vitamin	O	O
A	O	O
in	O	O
15	O	O
-	O	O
month	O	O
-	O	O
old	O	O
cattle	O	O
until	O	O
the	O	O
final	O	O
finishing	O	O
phase	O	O
(	O	O
29	O	O
months	O	O
of	O	O
age	O	O
)	O	O
increased	O	O
MS	O	O
,	O	O
but	O	O
not	O	O
in	O	O
23	O	O
-	O	O
month	O	O
-	O	O
old	O	O
cattle	O	O
prior	O	O
to	O	O
finishing	O	O
.	O	O

Discussion	O	O
In	O	O
our	O	O
study	O	O
,	O	O
less	O	O
than	O	O
half	O	O
the	O	O
participants	O	O
used	O	O
folic	O	O
acid	O	O
or	O	O
iron	O	O
during	O	O
their	O	O
pregnancy	O	O
,	O	O
while	O	O
approximately	O	O
two	O	O
thirds	O	O
took	O	O
multivitamin	O	O
supplements	O	O
.	O	O

Although	O	O
not	O	O
statistically	O	O
significant	O	O
,	O	O
point	O	O
estimates	O	O
for	O	O
women	O	O
carrying	O	O
a	O	O
male	O	O
fetus	O	O
indicated	O	O
decreased	O	O
risk	O	O
of	O	O
having	O	O
any	O	O
pregnancy	O	O
complication	O	O
with	O	O
high	O	O
serum	O	O
25	O	O
(	O	O
OH	O	O
)	O	O
D	O	O
compared	O	O
to	O	O
moderately	O	O
-	O	O
high	O	O
(	O	O
aRR	O	O
:	O	O
0	O	O
.	O	O
86	O	O
;	O	O
9	O	O
%%	O	O
CI	O	O
:	O	O
0	O	O
.	O	O
71	O	O
,	O	O
1	O	O
.	O	O
04	O	O
).	O	O

Between	O	O
birth	O	O
and	O	O
6	O	O
months	O	O
,	O	O
the	O	O
percentage	O	O
of	O	O
children	O	O
with	O	O
WFA	O	O
>	O	O
90th	O	O
percentile	O	O
declined	O	O
slightly	O	O
in	O	O
overweight	O	O
/	O	O
obese	O	O
mothers	O	O
(	O	O
from	O	O
19	O	O
.	O	O
6	O	O
%	O	O
to	O	O
17	O	O
.	O	O
6	O	O
%)	O	O
but	O	O
increased	O	O
from	O	O
7	O	O
%	O	O
to	O	O
15	O	O
%	O	O
in	O	O
the	O	O
offspring	O	O
of	O	O
normal	O	O
weight	O	O
mothers	O	O
(	O	O
Table	O	O
1	O	O
).	O	O

In	O	O
order	O	O
not	O	O
to	O	O
deprive	O	O
the	O	O
participants	O	O
from	O	O
antenatal	O	O
supplements	O	O
all	O	O
participating	O	O
mothers	O	O
were	O	O
allowed	O	O
to	O	O
use	O	O
prescribed	O	O
supplementation	O	O
outside	O	O
this	O	O
study	O	O
’	O	O
s	O	O
protocol	O	O
.	O	O

We	O	O
defined	O	O
as	O	O
a	O	O
new	O	O
episode	O	O
of	O	O
pneumonia	O	O
an	O	O
episode	O	O
happening	O	O
15	O	O
days	O	O
or	O	O
longer	O	O
after	O	O
the	O	O
first	O	O
.	O	O

Dietary	O	O
