TOKEN	TRUE	PREDICTED
In	O	O
humans	O	O
,	O	O
PTEN	O	O
haploinsufficiency	O	O
was	O	O
shown	O	O
to	O	O
have	O	O
divergent	O	O
effects	O	O
,	O	O
as	O	O
they	O	O
increase	O	O
the	O	O
risk	O	O
of	O	O
obesity	O	O
,	O	O
while	B	B
decreasing	O	O
that	O	O
of	O	O
type	O	O
2	O	O
diabetes	O	O
by	O	O
markedly	O	O
improving	O	O
insulin	O	O
sensitivity	O	O
(	O	O
Pal	O	O
et	O	O
al	O	O
.,	O	O
2012	O	O
).	O	O

This	O	O
includes	O	O
information	O	O
regarding	O	O
GDM	O	O
,	O	O
self	O	O
-	O	O
monitoring	O	O
of	O	O
blood	O	O
glucose	O	O
,	O	O
dietary	O	O
counseling	O	O
,	O	O
and	O	O
advice	O	O
regarding	O	O
healthy	O	O
lifestyle	O	O
measures	O	O
post	O	O
-	O	O
partum	O	O
.	O	O

Serum	O	O
25	O	O
-	O	O
hydroxyvitamin	O	O
D	O	O
was	O	O
measured	O	O
with	O	O
the	O	O
Chemiluminescence	O	O
immunoassay	O	O
(	O	O
CLIA	O	O
)	O	O
method	O	O
[	O	O
45	O	O
].	O	O

A	O	O
major	O	O
issue	O	O
in	O	O
sex	O	O
differences	O	O
is	O	O
the	O	O
need	O	O
for	O	O
control	O	O
the	O	O
estrous	O	O
phase	O	O
on	O	O
which	O	O
the	O	O
evaluations	O	O
were	O	O
performed	O	O
in	O	O
order	O	O
to	O	O
clarify	O	O
the	O	O
impact	O	O
of	O	O
sex	O	O
hormones	O	O
variations	O	O
in	O	O
the	O	O
female	O	O
.	O	O

2b	O	O
;	O	O
Additional	O	O
file	O	O
1	O	O
:	O	O
Table	O	O
S4	O	O
).	O	O

In	O	O
addition	O	O
,	O	O
our	O	O
recent	O	O
research	O	O
has	O	O
shown	O	O
that	O	O
transport	O	O
stress	O	O
causes	O	O
temporal	O	O
increases	O	O
in	O	O
circulating	O	O
cortisol	O	O
and	O	O
NEFA	O	O
concentrations	O	O
,	O	O
along	O	O
with	O	O
a	O	O
decrease	O	O
in	O	O
circulating	O	O
TG	O	O
concentration	O	O
in	O	O
pregnant	O	O
Holstein	O	O
heifers	O	O
[	O	O
103	O	O
],	O	O
consistent	O	O
with	O	O
transport	O	O
stress	O	O
also	O	O
causing	O	O
lipolysis	O	O
.	O	O

This	O	O
association	O	O
was	O	O
only	O	O
significant	O	O
in	O	O
children	O	O
breastfed	O	O
for	O	O
up	O	O
to	O	O
6	O	O
months	O	O
.	O	O
Greater	O	O
than	O	O
3	O	O
serves	O	O
per	O	O
week	O	O
was	O	O
not	O	O
associated	O	O
with	O	O
improved	O	O
outcomes	O	O
.	O	O
Seafood	O	O
intake	O	O
weakly	O	O
(	O	O
p	O	O
=	O	O
0	O	O
.	O	O
1	O	O
)	O	O
correlated	O	O
with	O	O
motor	O	O
development	O	O
.	O	O

Nevertheless	B	B
,	O	O
over	O	O
the	O	O
ensuing	O	O
decade	O	O
the	O	O
hundreds	O	O
of	O	O
subsequent	O	O
studies	O	O
have	O	O
provided	O	O
more	O	O
evidence	O	O
for	O	O
environmentally	O	O
induced	O	O
epigenetic	O	O
toxicity	O	O
.	O	O

The	O	O
Beat	O	O
Savory	O	O
Relief	O	O
for	O	O
Arsenic	O	O
Poisoning	O	O
?	O	O

Species	O	O
of	O	O
the	O	O
genus	O	O
Acinetobacter	O	O
are	O	O
increasingly	O	O
involved	O	O
in	O	O
nosocomial	O	O
infections	O	O
[	O	O
20	O	O
],	O	O
while	O	O
the	O	O
species	O	O
Clostridium	O	O
neonatale	O	O
was	O	O
initially	O	O
isolated	O	O
from	O	O
infants	O	O
affected	O	O
by	O	O
necrotizing	O	O
enterocolitis	O	O
[	O	O
21	O	O
],	O	O
and	O	O
the	O	O
pathogenic	O	O
potential	O	O
of	O	O
species	O	O
in	O	O
the	O	O
genus	O	O
Staphylococcus	O	O
is	O	O
well	O	O
-	O	O
established	O	O
[	O	O
22	O	O
,	O	O
23	O	O
].	O	O

Three	O	O
factors	O	O
were	O	O
considered	O	O
major	O	O
