TOKEN	TRUE	PREDICTED
Data	O	O
will	O	O
be	O	O
tested	O	O
for	O	O
outliers	O	O
and	O	O
normality	O	O
by	O	O
means	O	O
of	O	O
Q	O	O
-	O	O
Q	O	O
plots	O	O
and	O	O
histogram	O	O
visual	O	O
inspection	O	O
.	O	O

Database	O	O
searching	O	O
and	O	O
secondary	O	O
analyses	O	O
Data	O	O
generated	O	O
from	O	O
peptide	O	O
mass	O	O
mapping	O	O
(	O	O
PMM	O	O
)	O	O
of	O	O
each	O	O
spot	O	O
were	O	O
used	O	O
to	O	O
perform	O	O
searches	O	O
of	O	O
the	O	O
SWISS	O	O
-	O	O
PROT	O	O
,	O	O
NCBI	O	O
and	O	O
TrEMBL	O	O
databases	O	O
using	O	O
the	O	O
programs	O	O
Aldente	O	O
(	O	O
www	O	O
.	O	O
expasy	O	O
.	O	O
ch	O	O
)	O	O
and	O	O
MASCOT	O	O
(	O	O
www	O	O
.	O	O
matrixscience	O	O
.	O	O
com	O	O
).	O	O

Conclusion	O	O
In	O	B-IE
conclusion	B-IE	B-IE
,	O	O
lower	O	O
early	O	O
pregnancy	O	O
25OHD	O	O
was	O	O
associated	B-SR	B-SR
with	O	O
pregnancy	O	O
loss	O	O
.	O	O

A	O	O
high	B-IE	B-IE
index	I-IE	I-IE
of	I-IE	I-IE
suspicion	I-IE	I-IE
by	O	O
the	O	O
emergency	O	O
physician	O	O
in	O	O
addition	O	O
to	O	O
successful	O	O
coordination	O	O
of	O	O
care	O	O
between	O	O
the	O	O
emergency	O	O
physician	O	O
,	O	O
obstetrician	O	O
,	O	O
and	O	O
cardiothoracic	O	O
/	O	O
vascular	O	O
surgeon	O	O
is	O	O
necessary	B-IC	B-IC
for	O	O
a	O	O
successful	O	O
outcome	O	O
.	O	O

Even	B-ACF	B-ACF
in	O	O
adulthood	O	O
the	O	O
same	O	O
epigenetic	O	O
processes	O	O
drive	O	O
cell	O	O
proliferation	O	O
,	O	O
differentiation	O	O
,	O	O
function	O	O
and	O	O
adaptation	O	O
.	O	O

(	O	O
2013	O	O
)	O	O
*	O	O
Xie	O	O
et	O	O
al	O	O
.	O	O

Causal	O	O
biological	O	O
mechanisms	O	O
for	O	O
the	O	O
observed	B-IE	B-IE
positive	O	O
,	O	O
though	B-ACF	B-ACF
statistically	O	O
in	O	O
-	O	O
significant	O	O
association	B-SR	B-SR
between	O	O
long	O	O
sleep	O	O
duration	O	O
and	O	O
GDM	O	O
are	O	O
not	B-FU	B-FU
clear	I-FU	I-FU
.	O	O

Along	B-IE	B-IE
this	I-IE	I-IE
line	I-IE	I-IE
,	O	O
it	O	O
was	O	O
recently	B-IE	B-IE
demonstrated	O	B-IE
that	O	O
chronic	O	O
activation	O	O
of	O	O
the	O	O
β3	O	O
adrenoreceptor	O	O
induces	O	O
coupled	O	O
increases	O	O
in	O	O
lipolysis	O	O
,	O	O
de	O	O
novo	O	O
lipogenesis	O	O
and	O	O
fatty	O	O
acid	O	O
beta	O	O
-	O	O
oxidation	O	O
not	O	O
only	O	O
in	O	O
white	O	O
,	O	O
but	O	O
also	O	O
in	O	O
BAT	O	O
(	O	O
Mottillo	O	O
et	O	O
al	O	O
.,	O	O
2014	O	O
).	O	O

Papillary	O	O
thyroid	O	O
cancer	O	O
is	O	O
the	O	O
most	B-IC	B-IC
common	I-IC	I-IC
histological	O	O
type	O	O
detected	O	O
in	O	O
pregnant	O	O
women	O	O
,	O	O
and	O	O
in	O	O
most	O	O
series	O	O
90	O	O
%	O	O
to	O	O
95	O	O
%	O	O
of	O	O
thyroid	O	O
carcinoma	O	O
diagnosed	O	O
are	O	O
Stage	O	O
I	O	O
disease	O	O
,	O	O
with	O	O
the	O	O
majority	B-PU	B-PU
found	O	B-IE
in	O	O
the	O	O
first	O	O
trimester	O	O
of	O	O
pregnancy	O	O
during	O	O
the	O	O
first	O	O
antenatal	O	O
visit	O	O
.	O	O

An	O	O
overview	O	O
of	O	O
the	O	O
relevant	B-IC	B-IC
TGs	O	O
that	O	O
could	B-IE	B-IE
be	I-IE	I-IE
explored	O	O
for	O	O
adaptation	O	O
(	O	O
updated	O	O
from	O	O
Greally	O	O
&	O	O
Jacobs2013	O	O
),	O	O
is	O	O
provided	O	O
inTable	O	O
3	O	O
.	O	O

During	O	O
pregnancy	O	O
,	O	O
iron	O	O
requirements	O	O
are	O	O
not	B-DT	B-FU
uniform	I-DT	I-FU
[	O	O
14	O	O
].	O	O

Folate	O	O
Status	O	O
Both	O	O
brain	O	O
(	O	O
Figure	O	O
6a	O	O
)	O	O
and	O	O
plasma	O	O
(	O	O
Figure	O	O
6b	O	O
)	O	O
folate	O	O
levels	O	O
were	O	O
unaffected	O	O
by	O	O
the	O	O
diets	O	O
of	O	O
the	O	O
dams	O	O
but	B-ACF	O
were	O	O
elevated	O	O
by	O	O
the	O	O
high	O	O
multivitamin	O	O
or	O	O
high	O	O
folate	O	O
pup	O	O
diet	O	O
.	O	O

This	O	O
QFFQ	O	O
includes	O	O
a	O	O
list	O	O
of	O	O
typically	O	O
consumed	O	O
foods	O	O
and	O	O
minor	O	O
changes	O	O
were	O	O
made	O	O
to	O	O
the	O	O
questionnaire	O	O
according	O	O
to	O	O
vernacular	O	O
used	O	O
by	O	O
the	O	O
study	O	O
population	O	O
in	O	O
that	O	O
particular	O	O
area	O	O
.	O	O

Moreover	O	O
,	O	O
