TOKEN	TRUE	PREDICTED
(	O	O
2015	O	O
).	O	O

Study	O	O
has	O	O
shown	O	O
that	O	O
exposing	O	O
edible	O	O
mushroom	O	O
to	O	O
ultraviolet	O	O
B	O	O
light	O	O
could	O	O
increase	O	O
its	O	O
Vitamin	O	O
D2	O	O
content	O	O
and	O	O
raise	O	O
serum	O	O
25	O	O
-	O	O
OH	O	O
VitD2	O	O
in	O	O
healthy	O	O
adults	O	O
[	O	O
2	O	O
,	O	O
3	O	O
].	O	O

Genotyping	O	O
,	O	O
which	O	O
was	O	O
not	B	B
practical	I	I
in	O	O
our	O	O
study	O	O
setting	O	O
,	O	O
might	O	O
have	O	O
aided	O	O
the	O	O
interpretation	O	O
of	O	O
our	O	O
findings	O	O
,	O	O
as	O	O
shown	O	O
in	O	O
a	O	O
vitamin	O	O
D	O	O
supplementation	O	O
trial	O	O
for	O	O
tuberculosis	O	O
.	O	O
20	O	O
We	O	O
accounted	O	O
for	O	O
nutritional	O	O
factors	O	O
through	O	O
a	O	O
diet	O	O
questionnaire	O	O
,	O	O
weight	O	O
at	O	O
recruitment	O	O
,	O	O
and	O	O
growth	O	O
comparison	O	O
at	O	O
the	O	O
end	O	O
of	O	O
our	O	O
study	O	O
—	O	O
any	O	O
nutritional	O	O
deficiencies	O	O
would	O	O
have	O	O
been	O	O
equally	O	O
balanced	O	O
between	O	O
the	O	O
two	O	O
groups	O	O
.	O	O

Earlier	O	O
studies	O	O
have	O	O
mostly	O	O
examined	O	O
the	O	O
effects	O	O
of	O	O
particular	O	O
nutrients	O	O
or	O	O
foods	O	O
during	O	O
gestational	O	O
period	O	O
on	O	O
neonatal	O	O
anthropometric	O	O
measurements	O	O
[	O	O
13	O	O
]	O	O
and	O	O
few	O	O
data	O	O
are	O	O
available	O	O
linking	O	O
habitual	O	O
diet	O	O
to	O	O
neonatal	O	O
anthropometric	O	O
measurements	O	O
.	O	O

However	O	O
,	O	O
according	O	O
to	O	O
the	O	O
recent	O	O
studies	O	O
,	O	O
vitamin	O	O
D	O	O
deficiency	O	O
is	O	O
also	O	O
common	O	O
in	O	O
these	O	O
countries10	O	O
,	O	O
11	O	O
.	O	O

Rodent	O	O
models	O	O
of	O	O
leptin	O	O
deficiency	O	O
exhibit	O	O
marked	O	O
decreases	O	O
in	O	O
BAT	O	O
thermogenic	O	O
capacity	O	O
,	O	O
as	O	O
well	O	O
as	O	O
activity	O	O
(	O	O
Ueno	O	O
et	O	O
al	O	O
.,	O	O
1998	O	O
).	O	O

In	O	O
our	O	O
study	O	O
we	O	O
found	O	O
that	O	O
the	O	O
adjusted	O	O
relative	O	O
risk	O	O
of	O	O
GDM	O	O
was	O	O
highest	O	O
among	O	O
overweight	O	O
mothers	O	O
who	O	O
snored	O	O
during	O	O
pregnancy	O	O
(	O	O
OR	O	O
=	O	O
6	O	O
.	O	O
91	O	O
;	O	O
95	O	O
%	O	O
CI	O	O
2	O	O
.	O	O
87	O	O
-	O	O
16	O	O
.	O	O
3	O	O
)	O	O
when	O	O
compared	O	O
with	O	O
lean	O	O
mothers	O	O
who	O	O
did	O	O
not	O	O
snore	O	O
.	O	O

2	O	O
-	O	O
D	O	O
gel	O	O
electrophoresis	O	O
-	O	O
based	O	O
proteomics	O	O
and	O	O
mass	O	O
spectroscopy	O	O
were	O	O
used	O	O
to	O	O
investigate	O	O
differential	O	O
protein	O	O
expression	O	O
.	O	O

Nonetheless	O	O
,	O	O
in	O	O
our	O	O
study	O	O
,	O	O
the	O	O
vitamin	O	O
D	O	O
group	O	O
had	O	O
significantly	O	O
lower	O	O
depression	O	O
scores	O	O
after	O	O
intervention	O	O
.	O	O

An	O	O
increase	O	O
of	O	O
'	O	O
mTOR	O	O
signaling	O	O
'	O	O
within	O	O
developmental	O	O
period	O	O
II	O	O
was	O	O
observed	O	O
in	O	O
AP	O	O
offspring	O	O
,	O	O
but	O	O
not	O	O
in	O	O
the	O	O
LP	O	O
group	O	O
.	O	O

Medline	O	O
,	O	O
Scopus	O	O
,	O	O
Web	O	O
of	O	O
Science	O	O
,	O	O
ScienceDirect	O	O
and	O	O
the	O	O
Cochrane	O	O
Library	O	O
were	O	O
searched	O	O
using	O	O
the	O	O
search	O	O
terms	O	O
:	O	O
pregnant	O	O
,	O	O
neurodevelopment	O	O
,	O	O
cognition	O	O
,	O	O
fish	O	O
and	O	O
seafood	O	O
.	O	O

[	O	O
24	O	O
]	O	O
found	O	O
that	O	O
seafood	O	O
consumption	O	O
that	O	O
excluded	O	O
fish	O	O
intake	O	O
had	O	O
a	O	O
detrimental	O	O
effect	O	O
on	O	O
neurodevelopment	O	O
,	O	O
while	O	O
fish	O	O
intake	O	O
alone	O	O
led	O	O
to	O	O
improved	O	O
outcomes	O	O
.	O	O

While	O	O
the	O	O
GraviD	O	O
study	O	O
indicates	O	O
an	O	O
association	O	O
between	O	O
T3	O	O
25OHD	O	O
and	O	O
consequences	O	O
of	O	O
placental	O	O
insufficiency	O	O
,	O	O
change	O	O
in	O	O
25OHD	O	O
during	O	O
pregnancy	O	O
might	O	O
be	O	O
a	O	O
stronger	O	O
predictor	O	O
of	O	O
placental	O	O
dysfunction	O	O
,	O	O
as	O	O
it	O	O
is	O	O
associated	O	O
with	O	O
SGA	O	O
,	O	O
LBW	O	O
and	O	O
preterm	O	O
delivery	O	O
.	O	O

The	O	O
emulsifier	O	O
PROSOL	O	O
(	O	O
sodium	O	O
stearoyl	O	O
-	O	O
2	O	O
-	O	O
lactylate	O	O
)	O	O
increases	O	O
IMF	O	O
deposition	O	O
and	O	O
QG	O	O
in	O	O
Korean	O	O
cattle	O	O
[	O	O
108	O	O
].	O	O

Transfer	O	O
Mechanisms	O	O
of	O	O
Allergy	O	O
(	O	O
Immunopathogenesis	O	O
of	O	O
Atopy	O	O
)	O	O
The	O	O
allergic	O	O
status	O	O
of	O	O
the	O	O
mother	O	O
can	O	O
potentially	O	O
affect	O	O
the	O	O
immune	O	O
response	O	O
of	O	O
the	O	O
offspring	O	O
through	O	O
numerous	O	O
factors	O	O
that	O	O
are	O	O
transferable	O	O
via	O	O
the	O	O
placenta	O	O
or	O	O
breast	O	O
milk	O	O
.	O	O

furthered	O	O
our	O	O
understanding	O	O
of	O	O
the	O	O
effects	O	O
of	O	O
paternal	O	O
folate	O	O
deficiency	O	O
[	O	O
6	O	O
].	O	O

Medical	O	O
history	O	O
of	O	O
liver	O	O
disease	O	O
;	O	O
3	O	O
).	O	O

In	O	O
Afghanistan	O	O
,	O	O
dietary	O	O
intake	O	O
of	O	O
vitamin	O	O
D	O	O
is	O	O
low10and	O	O
exposure	O	O
of	O	O
women	O	O
to	O	O
sunlight	O	O
is	O	O
limited	O	O
by	O	O
the	O	O
widespread	O	O
use	O	O
of	O	O
the	O	O
burqa	O	O
.	O	O

Only	O	O
lower	O	O
maternal	O	O
fat	O	O
intake	O	O
(−	O	O
0	O	O
.	O	O
22	O	O
;	O	O
P	O	O
=	O	O
0	O	O
.	O	O
01	O	O
)	O	O
and	O	O
trend	O	O
for	O	O
higher	O	O
carbohydrate	O	O
intake	O	O
(	O	O
0	O	O
.	O	O
16	O	O
;	O	O
P	O	O
=	O	O
0	O	O
.	O	O
06	O	O
)	O	O
early	O	O
in	O	O
pregnancy	O	O
were	O	O
correlated	O	O
with	O	O
higher	O	O
WFA	O	O
z	O	O
-	O	O
scores	O	O
at	O	O
6	O	O
months	O	O
.	O	O

Multivariable	O	O
logistic	O	O
regression	O	O
analyses	O	O
of	O	O
the	O	O
outcome	O	O
variables	O	O
SGA	O	O
,	O	O
LBW	O	O
and	O	O
preterm	O	O
delivery	O	O
were	O	O
performed	O	O
with	O	O
25OHD	O	O
at	O	O
T1	O	O
,	O	O
T3	O	O
and	O	O
change	O	O
in	O	O
25OHD	O	O
during	O	O
pregnancy	O	O
as	O	O
the	O	O
independent	O	O
variables	O	O
