span,IGNORANCE TYPE
"Headliners: Maternal Nutrition and Child Cancer: Motherâ€™s Pre-pregnancy Diet May Influence Child Cancer Risk\nJensen CD, Block G, Buffler P, Ma X, Selvin S, Month S. 2004.",0
New findings from the NIEHS-funded Northern California Childhood Leukemia Study (NCCLS) show that the disease may originate even earlierâ€”in the foods a woman eats before she even becomes pregnant.,0
"The effect of maternal diet on child leukemia risk has not been rigorously studied; the few studies that have been done have focused on specific dietary factors, and the results have been mixed.",0
It is the first study to capture mothersâ€™ overall dietary patterns and relate them to child leukemia.,0
"Of the vegetables and fruits, carrots and cantaloupe showed the highest inverse effect, perhaps because of these foodsâ€™ high carotenoid content.",0
String beans and peas also correlated inversely with ALL risk.,0
"The authors stress that dietary factors work together, and no one food should be singled out in attributing risk or benefit.",0
"Further, a cause-and-effect relationship can not be concluded from this study.",0
"However, they write, it remains prudent for women who are pregnant or think they may become pregnant to eat a diet rich in fruits and vegetables.",0
Recent research has confirmed that ALL can originate in utero .,0
"Among the proteins, beef and beansâ€”both sources of the antioxidant glutathioneâ€”showed the highest inverse effect.",0
Lesions of testis and epididymis associated with prenatal diethylstilbestrol exposure.,0
Results from an international case-control study of childhood brain tumors: the role of prenatal vitamin supplementation.,0
"These findings are largely driven by data from the United States, where most mothers took vitamins.",0
"Mothers also took individual micronutrient supplements (e.g., vitamin C tablets), but most mothers who took these also took multivitamins, making it impossible to determine potential independent effects of these micronutrients.",0
"Although risk estimates varied by study center, combined results suggest that maternal supplementation for two trimesters may decrease risk of brain tumor (odds ratio [OR] 0.7, 95% confidence interval [CI] 0.5-0.9), with a trend of less risk with longer duration of use (p trend = 0.0007).",0
"Pregnant women are famously exhorted to faithfully take their daily prenatal vitamins, which often contain iron and other minerals.",0
"None of the women were anemic at that point, but 66% had low levels of ferritin (the principal form of stored iron), suggesting low iron nutritional status.",0
"Ironically, both early gestational iron-deficiency anemia and hemoconcentration later in pregnancy increase the risk of premature birth and low birth weight.",0
"Thus, the researchers suggest that excess iron supplementation can cause the same problems it is supposed to correct.",0
"Animal studies suggest that excess iron can also trigger formation of free radicals in the intestinal mucosa and other tissues, and that both iron deficiency and iron overload can damage nuclear DNA and mitochondrial DNA.",0
This kind of damage has been implicated in cancer induction.,0
"The intestinal mucosa is renewed every 5 to 6 days and will absorb as much iron as necessary to maintain iron balance; however, mature cells will stop absorbing iron entirely if they are flooded with it, even if there is an iron deficit.",0
"A more subtly calibrated iron supplementation during pregnancy may be as effective as current public health recommendations, and perhaps safer.",0
