PROBABLE UNDERSTANDING = a statement staking a claim to the most likely explanation, relationship, or phenomenon; there is a good chance this understanding is correct. The next actionable step is to determine if the most likely option is correct of if it’s another option.
a.	AT LEAST
1)	“uptake in nontarget organs such as lung, spleen and intestine was also reduced in the presence of an excess of unlabelled rgd peptide, indicating that <the uptake in these tissues was AT LEAST partly αvβ3mediated>.” [staking a claim that at the bare minimum the uptake in these tissues was partly αvβ3mediated, need to determine if this is correct]
2)	“since only 45% of mice challenged with the aerosol dose of 1.00e+03 cfu had a bacterial tissue burden, <it was concluded that a much higher dose should be used in the subsequent pathophysiology study to infect AT LEAST 95% of the challenged animals>.” [staking a claim that at the bare minimum future studies need to infect 95% of the challenged animals based on using a much higher dose, need to determine if this is correct]
3)	“taken together, <our results indicate that rec or np9 mrna originated from AT LEAST 18 different hml-2 loci in various normal human tissue types>.” [staking a claim that at the bare minimum there are 18 different hml-2 loci, need to determine if this is correct or if there are more]
4)	“eligibility for at-risk patients was similar to the criteria for entry into prap, i.e., any man between ages 35-69 years with AT LEAST one first degree relative or at least two second degree relatives on the same side of the family with the diagnosis of prostate cancer; african americans with or without a first degree relative with prostate cancer; men who have tested positive for brca1.” [eligibility criteria to ensure the bare minimum requirement to be included in the study, not a research question that stakes a claim at the bare minimum to answer the question with a need to determine if the claim is correct]
5)	 “the temperature, relative humidity, and aerosol particle size were monitored for AT LEAST one time point during each 10-minute test at approximately 5 minutes into each test.” [a statement about methodology where at the bare minimum one time point was measured for each 10-minute test, not a research question that stakes a claim at the bare minimum to answer the question with a need to determine if the claim is correct]
6)	“because short-term buffering of information in an active “online” state is a keystone of working memory, sustained delay activity has become virtually synonymous with “working memory,” AT LEAST to neuroscientists.” [at the bare minimum, neuroscientists equate sustained delay activity with working memory, not a research question that stakes a claim at the bare minimum to answer the question with a need to determine if the claim is correct]
7)	“EXAMPLE” [EXAMPLE]
8)
b.	LIKELIHOOD/ LIKELY/ LIKELY BE/ MOST LIKELY/ UNLIKELY
1)	“for the short-term outcome, <positive hiv increased LIKELIHOOD of mortality by 42% at 30-days and 35% at 90-days>.” [staking a claim about the relationship between positive hiv and an increase of mortality, need to determine if this claim is correct]
2)	“<deferring a decision to implant an lvad, may allow the severity of eshf to progress thereby increasing the LIKELIHOOD of an adverse event>.” [staking a claim about the relationship between deferring a decision to implant an lvad and an increase of adverse events, need to determine the correct course of action given this knowledge]
3)	“the situation is similar for cancer patients, as <standardized tumor-agnostic genomic analyses have a high LIKELIHOOD of uncovering plausible drug targets during the lifetimes of patients>, even those with late-stage disease.” [staking a claim about the relationship between standardized tumor-agnostic genomic analyses and uncovering plausible drug targets during the lifetimes of patients, need to determine if this standard analysis uncovers drug targets]
4)	“odel fit was determined using standard-likelihood ratio tests, while the impact of individual model factors was determined by evaluating log-LIKELIHOOD ratio tests and calculating odds ratios (or) and 95% confidence intervals (ci).” [a statistical test ‘log-likelihood ratio test’, not a research question that stakes a claim at the relationship between entities in order to answer the question with a need to determine if the claim is correct]
5)	“we applied the markov blanket to simplify the network and reduce the LIKELIHOOD of over-fitting the model to the dataset (i.e.” [specific methodology to decrease the issue of over-fitting, not a research question that stakes a claim at the relationship between entities in order to answer the question with a need to determine if the claim is correct]
6)	“interestingly, the last five were reported to be differentially expressed in fish following bacterial challenge [48], indicating <the LIKELY evolutionary conservation of function of these apps between different species>.” [staking a claim of evolutionary conservation of function of these apps between different species, need to determine if this claim is correct]
7)	“more generally, <the microarray data are LIKELY to be helpful in uncovering potential crosstalks regarding mammalian immune response mechanisms>.” [staking a claim that the microarray data will be helpful in uncovering potential crosstalks regarding mammalian immune response mechanisms, need to determine if this claim is correct]
8)	“<the no-traders were LIKELY to make no trade-offs in any direction favouring the status quo>.” [staking a claim about the relationship between being a no-trader and making no trade-offs, need to determine if this claim is correct]
