TOKEN	PREDICTED
(	O
2015	O
).	O

Study	O
has	O
shown	O
that	O
exposing	O
edible	O
mushroom	O
to	O
ultraviolet	O
B	O
light	O
could	O
increase	O
its	O
Vitamin	O
D2	O
content	O
and	O
raise	O
serum	O
25	O
-	O
OH	O
VitD2	O
in	O
healthy	O
adults	O
[	O
2	O
,	O
3	O
].	O

Genotyping	O
,	O
which	O
was	O
not	B
practical	I
in	O
our	O
study	O
setting	O
,	O
might	O
have	O
aided	O
the	O
interpretation	O
of	O
our	O
findings	O
,	O
as	O
shown	O
in	O
a	O
vitamin	O
D	O
supplementation	O
trial	O
for	O
tuberculosis	O
.	O
20	O
We	O
accounted	O
for	O
nutritional	O
factors	O
through	O
a	O
diet	O
questionnaire	O
,	O
weight	O
at	O
recruitment	O
,	O
and	O
growth	O
comparison	O
at	O
the	O
end	O
of	O
our	O
study	O
—	O
any	O
nutritional	O
deficiencies	O
would	O
have	O
been	O
equally	O
balanced	O
between	O
the	O
two	O
groups	O
.	O

Earlier	O
studies	O
have	O
mostly	O
examined	O
the	O
effects	O
of	O
particular	O
nutrients	O
or	O
foods	O
during	O
gestational	O
period	O
on	O
neonatal	O
anthropometric	O
measurements	O
[	O
13	O
]	O
and	O
few	O
data	O
are	O
available	O
linking	O
habitual	O
diet	O
to	O
neonatal	O
anthropometric	O
measurements	O
.	O

However	O
,	O
according	O
to	O
the	O
recent	O
studies	O
,	O
vitamin	O
D	O
deficiency	O
is	O
also	O
common	O
in	O
these	O
countries10	O
,	O
11	O
.	O

Rodent	O
models	O
of	O
leptin	O
deficiency	O
exhibit	O
marked	O
decreases	O
in	O
BAT	O
thermogenic	O
capacity	O
,	O
as	O
well	O
as	O
activity	O
(	O
Ueno	O
et	O
al	O
.,	O
1998	O
).	O

In	O
our	O
study	O
we	O
found	O
that	O
the	O
adjusted	O
relative	O
risk	O
of	O
GDM	O
was	O
highest	O
among	O
overweight	O
mothers	O
who	O
snored	O
during	O
pregnancy	O
(	O
OR	O
=	O
6	O
.	O
91	O
;	O
95	O
%	O
CI	O
2	O
.	O
87	O
-	O
16	O
.	O
3	O
)	O
when	O
compared	O
with	O
lean	O
mothers	O
who	O
did	O
not	O
snore	O
.	O

2	O
-	O
D	O
gel	O
electrophoresis	O
-	O
based	O
proteomics	O
and	O
mass	O
spectroscopy	O
were	O
used	O
to	O
investigate	O
differential	O
protein	O
expression	O
.	O

Nonetheless	O
,	O
in	O
our	O
study	O
,	O
the	O
vitamin	O
D	O
group	O
had	O
significantly	O
lower	O
depression	O
scores	O
after	O
intervention	O
.	O

An	O
increase	O
of	O
'	O
mTOR	O
signaling	O
'	O
within	O
developmental	O
period	O
II	O
was	O
observed	O
in	O
AP	O
offspring	O
,	O
but	O
not	O
in	O
the	O
LP	O
group	O
.	O

Medline	O
,	O
Scopus	O
,	O
Web	O
of	O
Science	O
,	O
ScienceDirect	O
and	O
the	O
Cochrane	O
Library	O
were	O
searched	O
using	O
the	O
search	O
terms	O
:	O
pregnant	O
,	O
neurodevelopment	O
,	O
cognition	O
,	O
fish	O
and	O
seafood	O
.	O

[	O
24	O
]	O
found	O
that	O
seafood	O
consumption	O
that	O
excluded	O
fish	O
intake	O
had	O
a	O
detrimental	O
effect	O
on	O
neurodevelopment	O
,	O
while	O
fish	O
intake	O
alone	O
led	O
to	O
improved	O
outcomes	O
.	O

While	O
the	O
GraviD	O
study	O
indicates	O
an	O
association	O
between	O
T3	O
25OHD	O
and	O
consequences	O
of	O
placental	O
insufficiency	O
,	O
change	O
in	O
25OHD	O
during	O
pregnancy	O
might	O
be	O
a	O
stronger	O
predictor	O
of	O
placental	O
dysfunction	O
,	O
as	O
it	O
is	O
associated	O
with	O
SGA	O
,	O
LBW	O
and	O
preterm	O
delivery	O
.	O

The	O
emulsifier	O
PROSOL	O
(	O
sodium	O
stearoyl	O
-	O
2	O
-	O
lactylate	O
)	O
increases	O
IMF	O
deposition	O
and	O
QG	O
in	O
Korean	O
cattle	O
[	O
108	O
].	O

Transfer	O
Mechanisms	O
of	O
Allergy	O
(	O
Immunopathogenesis	O
of	O
Atopy	O
)	O
The	O
allergic	O
status	O
of	O
the	O
mother	O
can	O
potentially	O
affect	O
the	O
immune	O
response	O
of	O
the	O
offspring	O
through	O
numerous	O
factors	O
that	O
are	O
transferable	O
via	O
the	O
placenta	O
or	O
breast	O
milk	O
.	O

furthered	O
our	O
understanding	O
of	O
the	O
effects	O
of	O
paternal	O
folate	O
deficiency	O
[	O
6	O
].	O

Medical	O
history	O
of	O
liver	O
disease	O
;	O
3	O
).	O

In	O
Afghanistan	O
,	O
dietary	O
intake	O
of	O
vitamin	O
D	O
is	O
low10and	O
exposure	O
of	O
women	O
to	O
sunlight	O
is	O
limited	O
by	O
the	O
widespread	O
use	O
of	O
the	O
burqa	O
.	O

Only	O
lower	O
maternal	O
fat	O
intake	O
(−	O
0	O
.	O
22	O
;	O
P	O
=	O
0	O
.	O
01	O
)	O
and	O
trend	O
for	O
higher	O
carbohydrate	O
intake	O
(	O
0	O
.	O
16	O
;	O
P	O
=	O
0	O
.	O
06	O
)	O
early	O
in	O
pregnancy	O
were	O
correlated	O
with	O
higher	O
WFA	O
z	O
-	O
scores	O
at	O
6	O
months	O
.	O

Multivariable	O
logistic	O
regression	O
analyses	O
of	O
the	O
outcome	O
variables	O
SGA	O
,	O
LBW	O
and	O
preterm	O
delivery	O
were	O
performed	O
with	O
25OHD	O
at	O
T1	O
,	O
T3	O
and	O
change	O
in	O
25OHD	O
during	O
pregnancy	O
as	O
the	O
independent	O
variables	O
.	O

Their	O
offspring	O
were	O
more	O
likely	O
to	O
have	O
weighed	O
less	O
at	O
birth	O
and	O
to	O
have	O
had	O
a	O
lower	O
BMI	O
at	O
age	O
7	O
years	O
(	O
table	O
1	O
).	O

The	O
mean	O
total	O
number	O
of	O
combined	O
visits	O
was	O
9	O
.	O
58	O
±	O
4	O
.	O
88	O
:	O
18	O
%	O
of	O
participants	O
made	O
≤	O
4	O
visits	O
,	O
28	O
.	O
5	O
%	O
made	O
between	O
5	O
–	O
9	O
visits	O
and	O
53	O
.	O
3	O
%	O
had	O
≥	O
10	O
visits	O
.	O

Both	O
intervention	O
and	O
control	O
treatment	O
arms	O
will	O
receive	O
the	O
usual	O
antenatal	O
and	O
postnatal	O
care	O
services	O
by	O
BRAC	O
.	O

Regarding	O
female	O
offspring	O
,	O
two	O
-	O
way	O
ANOVA	O
indicated	O
a	O
main	O
effect	O
of	O
prenatal	O
diet	O
[	O
F	O
(	O
3	O
,	O
31	O
)=	O
7	O
.	O
517	O
,	O
P	O
<	O
0	O
.	O
05	O
]	O
and	O
an	O
almost	O
significant	O
effect	O
of	O
treatment	O
[	O
F	O
(	O
3	O
,	O
31	O
)=	O
3	O
.	O
928	O
,	O
P	O
=	O
0	O
.	O
056	O
]	O
on	O
chocolate	O
intake	O
(	O
Figure3G	O
).	O

We	O
did	O
not	O
observe	O
an	O
overall	O
association	O
between	O
any	O
attribute	O
-	O
defined	O
gene	O
-	O
associated	O
class	O
methylation	O
and	O
LINE	O
-	O
1	O
methylation	O
levels	O
.	O

Eight	O
viable	O
fetuses	O
per	O
sow	O
were	O
collected	O
starting	O
at	O
the	O
tip	O
of	O
the	O
left	O
uterus	O
horn	O
and	O
alternating	O
between	O
left	O
and	O
right	O
horn	O
.	O

Study	O
midwifes	O
and	O
/	O
or	O
fieldworkers	O
collect	O
birth	O
data	O
(	O
phase	O
4	O
)	O
within	O
a	O
window	O
of	O
12	O
h	O
.	O
Postnatal	O
data	O
are	O
collected	O
at	O
6	O
weeks	O
(+	O
14	O
days	O
)	O
(	O
phase	O
5	O
);	O
24	O
weeks	O
(+	O
30	O
days	O
)	O
(	O
phase	O
6	O
);	O
6	O
weeks	O
post	O
measles	O
immunisation	O
(±	O
3	O
days	O
)	O
(	O
phase	O
7	O
)	O
or	O
30	O
weeks	O
(+	O
30	O
days	O
)	O
if	O
measles	O
immunization	O
was	O
not	O
given	O
between	O
24	O
and	O
28	O
weeks	O
;	O
and	O
52	O
weeks	O
(+	O
30	O
days	O
)	O
(	O
phase	O
8	O
)	O
postnatal	O
age	O
.	O

2	O
.	O

In	O
order	O
to	O
investigate	O
transcriptional	O
features	O
of	O
developmental	O
nutritional	O
programming	O
we	O
conducted	O
a	O
longitudinal	O
experimental	O
design	O
covering	O
prenatal	O
,	O
perinatal	O
,	O
juvenile	O
and	O
adult	O
ontogenetic	O
stages	O
in	O
a	O
porcine	O
model	O
.	O

They	O
have	O
all	O
demonstrated	O
that	O
the	O
rapid	O
acting	O
analogues	O
are	O
as	O
effective	O
as	O
regular	O
insulin	O
in	O
the	O
treatment	O
of	O
GDM	O
,	O
with	O
comparable	O
,	O
if	O
not	O
favorable	O
,	O
outcomes	O
(	O
Table	O
3	O
).	O

This	O
could	O
support	O
the	O
hypothesis	O
that	O
sex	O
hormones	O
and	O
,	O
therefore	O
,	O
menstrual	O
and	O
reproductive	O
events	O
,	O
may	O
modify	O
thyroid	O
cancer	O
risk	O
in	O
women6	O
,	O
although	O
these	O
associations	O
–	O
which	O
could	O
indicate	O
either	O
a	O
causal	O
link	O
or	O
a	O
surveillance	O
bias	O
–	O
may	O
reflect	O
an	O
aetiology	O
shared	O
by	O
both	O
the	O
above	O
-	O
mentioned	O
factors	O
and	O
by	O
thyroid	O
cancer	O
.	O

(	O
2012	O
)*/†	O
MethylmercuryMouseOral	O
(	O
water	O
)	O
(	O
0	O
.	O
5	O
mg	O
/	O
kg	O
)	O
In	O
utero	O
+	O
neonatalAdulthoodBehavioral	O
abnormalitiesHistone	O
modification	O
DNA	O
methylationOnishchenko	O
et	O
al	O
.	O

In	O
particular	O
,	O
the	O
degradation	O
of	O
essential	O
,	O
branch	O
-	O
chained	O
amino	O
acids	O
like	O
valine	O
,	O
leucine	O
and	O
isoleucine	O
was	O
found	O
to	O
be	O
regulated	O
,	O
which	O
may	O
illustrate	O
the	O
LP	O
offspring	O
'	O
s	O
efforts	O
to	O
mimic	O
prenatal	O
experiences	O
in	O
terms	O
of	O
dietary	O
supply	O
during	O
postnatal	O
development	O
in	O
the	O
face	O
of	O
richer	O
conditions	O
.	O

?	O

We	O
did	O
not	O
identify	O
any	O
correlations	O
between	O
baseline	O
variables	O
.	O

American	O
Wagyu	O
steers	O
fed	O
a	O
high	O
-	O
corn	O
diet	O
had	O
greater	O
fat	O
accumulation	O
than	O
did	O
animals	O
fed	O
a	O
hay	O
-	O
based	O
diet	O
[	O
120	O
].	O

Methods	O
The	O
aims	O
of	O
this	O
prospective	O
cohort	O
study	O
are	O
:	O
1	O
)	O
to	O
assess	O
dietary	O
intake	O
and	O
nutritional	O
status	O
of	O
urban	O
pregnant	O
women	O
in	O
Johannesburg	O
,	O
South	O
Africa	O
,	O
and	O
2	O
)	O
to	O
determine	O
associations	O
with	O
birth	O
outcomes	O
,	O
measures	O
of	O
maternal	O
health	O
,	O
as	O
well	O
as	O
measures	O
of	O
offspring	O
health	O
and	O
development	O
.	O

Patients	O
must	O
be	O
monitored	O
closely	O
for	O
potential	O
adverse	O
effects	O
of	O
corticosteroids	O
,	O
especially	O
gestational	O
diabetes	O
,	O
preeclampsia	O
,	O
and	O
intrauterine	O
growth	O
retardation	O
.	O

The	O
MiG	O
Study	O
randomized	O
751	O
women	O
with	O
GDM	O
to	O
treatment	O
with	O
insulin	O
or	O
metformin	O
.	O
72The	O
women	O
in	O
the	O
metformin	O
arm	O
were	O
treated	O
with	O
supplemental	O
insulin	O
if	O
the	O
maximal	O
dose	O
of	O
metformin	O
,	O
2500	O
mg	O
daily	O
,	O
failed	O
to	O
meet	O
the	O
glucose	O
targets	O
.	O

PubMed	O
Central	O
:	O

The	O
researchers	O
found	O
that	O
the	O
more	O
vegetables	O
,	O
fruits	O
,	O
and	O
proteins	O
a	O
woman	O
ate	O
,	O
the	O
lower	O
the	O
risk	O
of	O
her	O
child	O
having	O
leukemia	O
.	O

Sample	O
size	O
The	O
available	O
sample	O
size	O
for	O
follow	O
