TOKEN	PREDICTED
The	O
reported	O
adherence	O
rates	O
to	O
folic	O
acid	O
intake	O
in	O
other	O
countries	O
vary	O
depending	O
on	O
concomitant	O
recommendations	O
for	O
cereal	O
fortification	O
and	O
on	O
the	O
period	O
analysed	O
–	O
pre	O
-	O
or	O
peri	O
-	O
conception	O
.	O

There	O
are	O
some	O
differences	O
in	O
the	O
management	O
of	O
the	O
two	O
most	O
important	O
histotypes	O
:	O
DTC	O
(	O
differentiated	O
thyroid	O
cancer	O
:	O
follicular	O
and	O
papillary	O
cancer	O
)	O
and	O
MTC	O
(	O
medullary	O
thyroid	O
cancer	O
)	O
just	O
as	O
for	O
non	O
-	O
pregnant	O
patients	O
[	O
Boxes	O
1	O
-	O
2	O
].	O

A	O
detailed	O
description	O
of	O
the	O
follow	O
-	O
up	O
study	O
and	O
exposure	O
assessment	O
has	O
been	O
described	O
elsewhere	O
[	O
21	O
].	O

Ayas	O
et	O
al	O
,	O
in	O
their	O
study	O
of	O
70	O
,	O
026	O
US	O
nurses	O
,	O
followed	O
for	O
10	O
years	O
,	O
reported	O
that	O
individuals	O
who	O
slept	O
≤	O
5	O
hours	O
per	O
night	O
had	O
a	O
significantly	O
higher	O
risk	O
of	O
symptomatic	O
incident	O
diabetes	O
(	O
OR	O
=	O
1	O
.	O
34	O
;	O
95	O
%	O
CI	O
1	O
.	O
04	O
-	O
1	O
.	O
72	O
)	O
[	O
4	O
].	O

In	O
addition	O
,	O
authors	O
emphasize	O
importance	O
of	O
survival	O
and	O
health	O
of	O
cows	O
and	O
calves	O
and	O
of	O
subsequent	O
reproductive	O
performance	O
of	O
cows	O
for	O
relative	O
contribution	O
of	O
fetal	O
programming	O
to	O
the	O
profitability	O
of	O
beef	O
production	O
systems	O
when	O
developmental	O
programming	O
is	O
applied	O
[	O
33	O
].	O

The	O
remaining	O
piglets	O
were	O
cross	O
-	O
fostered	O
to	O
non	O
-	O
experimental	O
sows	O
of	O
2ndto	O
4thparities	O
,	O
which	O
were	O
on	O
the	O
AP	O
diet	O
during	O
gestation	O
.	O

Both	O
MS	O
and	O
IMF	O
contents	O
increased	O
with	O
increasing	O
slaughter	O
age	O
(	O
2	O
,	O
4	O
,	O
6	O
,	O
12	O
,	O
and	O
24	O
months	O
)	O
in	O
bulls	O
of	O
German	O
Angus	O
,	O
Galloway	O
,	O
and	O
Holstein	O
-	O
Friesian	O
breeds	O
[	O
24	O
].	O

To	O
our	O
knowledge	O
,	O
ours	O
is	O
one	O
of	O
the	O
first	O
studies	O
to	O
find	O
associations	O
between	O
vitamin	O
D	O
status	O
and	O
pregnancy	O
loss	O
.	O

Therefore	O
,	O
the	O
participants	O
’	O
honesty	O
was	O
one	O
of	O
this	O
research	O
limits	O
.	O

Although	O
no	O
causality	O
was	O
found	O
,	O
it	O
was	O
determined	O
that	O
prenatal	O
folic	O
acid	O
supplements	O
taken	O
during	O
pregnancy	O
were	O
associated	O
with	O
a	O
decreased	O
risk	O
of	O
autistic	O
disorder	O
.	O

First	O
Lamarck	O
,	O
and	O
then	O
Waddington	O
,	O
suggested	O
that	O
alternative	O
mechanisms	O
,	O
now	O
termed	O
epigenetics	O
,	O
must	O
also	O
contribute	O
to	O
phenotypic	O
outcomes	O
(	O
Noble2006	O
).	O

All	O
rights	O
reserved	O
PubMed	O
Central	O
:	O

(%)	O
<	O
25	O
normal	O
weight13	O
381	O
(	O
73	O
)	O
10	O
030	O
(	O
70	O
)	O
506	O
(	O
62	O
)	O
25	O
-	O
29	O
.	O
9	O
overweight3	O
697	O
(	O
20	O
)	O
3005	O
(	O
21	O
)	O
198	O
(	O
24	O
)	O
≥	O
30	O
obese770	O
(	O
4	O
)	O
857	O
(	O
6	O
)	O
71	O
(	O
9	O
)	O
missing563	O
(	O
3	O
)	O
503	O
(	O
3	O
)	O
42	O
(	O
5	O
)	O
Education	O
,	O
No	O
.	O

Nutritional	O
education	O
is	O
considered	O
an	O
important	O
tool	O
for	O
promoting	O
a	O
healthy	O
lifestyle	O
,	O
but	O
has	O
not	O
been	O
studied	O
as	O
a	O
determinant	O
for	O
maternal	O
use	O
of	O
supplements	O
during	O
pregnancy	O
,	O
especially	O
in	O
Romania	O
,	O
where	O
evidence	O
about	O
pregnancy	O
and	O
nutrition	O
is	O
scarce	O
.	O

This	O
study	O
is	O
therefore	O
designed	O
to	O
investigate	O
pregnant	O
women	O
'	O
s	O
perception	O
of	O
quality	O
of	O
ANC	O
services	O
rendered	O
in	O
health	O
facilities	O
within	O
the	O
Buea	O
Health	O
District	O
area	O
.	O

The	O
male	O
pups	O
were	O
weaned	O
on	O
postnatal	O
day	O
21	O
and	O
housed	O
in	O
groups	O
of	O
3	O
–	O
6	O
.	O

Mothers	O
are	O
asked	O
how	O
soon	O
after	O
birth	O
the	O
infant	O
was	O
breastfed	O
,	O
if	O
the	O
infant	O
is	O
currently	O
being	O
breastfed	O
and	O
if	O
not	O
,	O
the	O
duration	O
of	O
breastfeeding	O
.	O

Priority	O
was	O
given	O
to	O
papers	O
that	O
presented	O
original	O
data	O
rather	O
than	O
reviews	O
or	O
meta	O
-	O
analyses	O
.	O

Vitamin	O
D	O
levels	O
in	O
an	O
Australian	O
and	O
New	O
Zealand	O
cohort	O
and	O
the	O
association	O
with	O
pregnancy	O
outcome	O
Abstract	O
Background	O
Pregnant	O
women	O
are	O
at	O
increased	O
susceptibility	O
to	O
vitamin	O
D	O
deficiency	O
.	O

Moreover	O
,	O
the	O
usual	O
recommendations	O
to	O
avoid	O
sun	O
exposure	O
reduces	O
dermal	O
synthesis	O
of	O
vitamin	O
D3Although	O
vitamin	O
D	O
is	O
undoubtedly	O
important	O
for	O
foetal	O
bone	O
development	O
,	O
we	O
know	O
that	O
it	O
plays	O
a	O
much	O
wider	O
role	O
in	O
health	O
and	O
disease	O
prevention	O
.	O

It	O
is	O
important	O
to	O
pay	O
attention	O
to	O
Vitamin	O
D	O
nutritional	O
status	O
in	O
GDM	O
pregnancy	O
nutrition	O
management	O
.	O

Among	O
all	O
the	O
predicted	O
miRNAs	O
,	O
4	O
miRNAs	O
targeting	O
GR	O
were	O
quantitated	O
by	O
real	O
-	O
time	O
PCR	O
and	O
miRNA	O
-	O
124a	O
,	O
which	O
has	O
been	O
identified	O
to	O
target	O
GR	O
3	O
′	O
UTR	O
[	O
2	O
],[	O
3	O
],	O
was	O
more	O
highly	O
expressed	O
in	O
betaine	O
-	O
exposed	O
neonatal	O
livers	O
.	O

[	O
5	O
]	O
The	O
above	O
observations	O
highlight	O
the	O
fact	O
that	O
vitamin	O
D	O
has	O
a	O
key	O
role	O
to	O
play	O
in	O
the	O
pathogenesis	O
of	O
wheezing	O
/	O
asthma	O
.	O

The	O
mean	O
age	O
of	O
women	O
was	O
similar	O
in	O
all	O
three	O
regions	O
.	O

We	O
also	O
searched	O
for	O
unpublished	O
studies	O
,	O
PhD	O
dissertations	O
,	O
internal	O
reports	O
,	O
and	O
conference	O
proceedings	O
/	O
abstracts	O
.	O

New	O
drugs	O
with	O
anti	O
-	O
angiogenetic	O
,	O
anti	O
-	O
tyrosine	O
kinase	O
and	O
anti	O
-	O
VEGF	O
effects	O
are	O
currently	O
under	O
observation	O
.	O

Table	O
1	O
shows	O
the	O
demographics	O
and	O
clinical	O
characteristics	O
of	O
the	O
133	O
children	O
participants	O
in	O
this	O
study	O
with	O
measurement	O
of	O
circulating	O
cathelicidin	O
.	O

Using	O
the	O
Institute	O
of	O
Medicine	O
’	O
s	O
definition	O
of	O
sufficiency	O
(	O
total	O
circulating	O
25	O
(	O
OH	O
)	O
D	O
≥	O
20	O
ng	O
/	O
mL	O
(	O
50	O
nmol	O
/	O
L	O
)	O
[	O
25	O
],	O
the	O
cohort	O
also	O
was	O
divided	O
into	O
two	O
groups	O
based	O
on	O
child	O
’	O
s	O
current	O
vitamin	O
D	O
status	O
,	O
with	O
those	O
with	O
25	O
(	O
OH	O
)	O
D	O
concentrations	O
<	O
20	O
ng	O
/	O
mL	O
(	O
50	O
.	O
0	O
nmol	O
/	O
L	O
)	O
defined	O
as	O
deficient	O
.	O

The	O
strengths	O
of	O
this	O
study	O
include	O
the	O
large	O
sample	O
size	O
,	O
population	O
-	O
based	O
ascertainment	O
of	O
placenta	O
samples	O
,	O
quantitative	O
assessment	O
of	O
LINE	O
-	O
1	O
and	O
AluYb8	O
methylation	O
,	O
and	O
the	O
use	O
of	O
a	O
well	O
-	O
established	O
,	O
high	O
-	O
density	O
methylation	O
array	O
for	O
methylation	O
profiling	O
.	O

[	O
13	O
]	O
and	O
Kruavit	O
et	O
al	O
.	O

DNA	O
is	O
methylated	O
by	O
a	O
family	O
of	O
DNA	O
methyltransferases	O
(	O
DNMTs	O
)	O
(	O
Bestor	O
&	O
Ingram1983	O
;	O
Li	O
et	O
al	O
.	O
1992	O
,	O
1996	O
;	O
Okano	O
et	O
al	O
.	O
1998	O
,	O
1999	O
;	O
Aapola	O
et	O
al	O
.	O
2000	O
;	O
Gowher	O
et	O
al	O
.	O
2005	O
).	O

Each	O
child	O
’	O
s	O
cathelicidin	O
concentration	O
also	O
was	O
compared	O
to	O
the	O
frequency	O
of	O
infections	O
each	O
child	O
had	O
diagnosed	O
within	O
the	O
last	O
year	O
,	O
and	O
to	O
the	O
age	O
of	O
the	O
child	O
.	O

Compared	O
with	O
women	O
who	O
did	O
not	O
snore	O
during	O
pregnancy	O
,	O
the	O
adjusted	O
mean	O
1	O
-	O
hour	O
glucose	O
concentrations	O
were	O
noted	O
to	O
be	O
6	O
.	O
4	O
mg	O
/	O
dl	O
higher	O
among	O
those	O
women	O
who	O
snored	O
during	O
pregnancy	O
(	O
β	O
=	O
6	O
.	O
4	O
mg	O
/	O
dl	O
,	O
95	O
%	O
CI	O
0	O
.	O
32	O
-	O
12	O
.	O
5	O
,	O
p	O
=	O
0	O
.	O
04	O
).	O

In	O
infants	O
delivered	O
by	O
Cesarean	O
section	O
,	O
we	O
identified	O
three	O
clusters	O
that	O
differed	O
slightly	O
from	O
vaginally	O
delivered	O
infants	O
,	O
which	O
were	O
characterized	O
by	O
a	O
high	O
abundance	O
of	O
Bifidobacterium	O
,	O
high	O
Clostridium	O
and	O
low	O
Streptococcus	O
and	O
Ruminococcus	O
genera	O
,	O
and	O
high	O
abundance	O
of	O
the	O
family	O
Enterobacteriaceae	O
.	O

Not	O
really	O
a	O
vitamin	O
,	O
D3is	O
a	O
pro	O
-	O
prehormone	O
made	O
in	O
the	O
skin	O
in	O
response	O
to	O
ultraviolet	O
-	O
B	O
light	O
exposure	O
.	O

Alarmingly	O
,	O
in	O
the	O
birth	O
cohort	O
study	O
from	O
the	O
Isle	O
of	O
Wight	O
,	O
about	O
43	O
%	O
of	O
children	O
had	O
been	O
exposed	O
to	O
environmental	O
tobacco	O
smoke	O
during	O
their	O
first	O
year	O
of	O
life	O
[	O
38	O
].	O

Folate	O
Status	O
Both	O
brain	O
(	O
Figure	O
6a	O
)	O
and	O
plasma	O
(	O
Figure	O
6b	O
)	O
folate	O
levels	O
were	O
unaffected	O
by	O
the	O
diets	O
of	O
the	O
dams	O
but	O
were	O
elevated	O
by	O
the	O
high	O
multivitamin	O
or	O
high	O
folate	O
pup	O
diet	O
.	O

The	O
ROLO	O
trial	O
evaluated	O
the	O
effect	O
of	O
a	O
low	O
glycaemic	O
index	O
diet	O
among	O
women	O
who	O
had	O
previously	O
given	O
birth	O
to	O
an	O
infant	O
with	O
weight	O
above	O
4	O
kg	O
[	O
16	O
].	O

[	O
20	O
]	O
and	O
Oken	O
et	O
al	O
.	O

The	O
delivery	O
mode	O
was	O
drawn	O
from	O
maternal	O
delivery	O
records	O
,	O
and	O
maternal	O
pre	O
-	O
pregnancy	O
height	O
,	O
weight	O
,	O
and	O
parity	O
were	O
determined	O
via	O
a	O
self	O
-	O
administered	O
questionnaire	O
upon	O
study	O
entry	O
and	O
used	O
to	O
compute	O
pre	O
-	O
pregnancy	O
BMI	O
.	O

On	O
the	O
other	O
hand	O
,	O
these	O
outcomes	O
also	O
were	O
twice	O
as	O
common	O
among	O
children	O
whose	O
mothers	O
worked	O
at	O
an	O
electronics	O
assembly	O
plant	O
as	O
in	O
other	O
children	O
.	O
37	O
Animal	O
studies	O
suggest	O
potential	O
reproductive	O
implications	O
of	O
exposure	O
.	O

In	O
other	O
words	O
,	O
the	O
respective	O
growth	O
of	O
the	O
BAT	O
and	O
WAT	O
depots	O
depends	O
on	O
the	O
maternal	O
diet	O
during	O
gestation	O
and	O
it	O
may	O
be	O
responsible	O
for	O
the	O
development	O
of	O
obesity	O
,	O
insulin	O
resistance	O
and	O
type	O
2	O
diabetes	O
in	O
the	O
offspring	O
,	O
later	O
in	O
life	O
(	O
Symonds	O
et	O
al	O
.,	O
2012	O
).	O

Caption	O
(	O
FIG	O
):	O
FIGURE	O
2	O
Maternal	O
mean	O
1	O
-	O
hour	O
plasma	O
glucose	O
concentrations	O
after	O
a	O
50	O
-	O
g	O
oral	O
glucose	O
challenge	O
.	O

Results	O
18	O
411	O
women	O
were	O
classified	O
as	O
having	O
a	O
low	O
level	O
of	O
psychotic	O
-	O
like	O
symptoms	O
,	O
14	O
395	O
as	O
middle	O
and	O
817	O
as	O
having	O
a	O
high	O
level	O
.	O

For	O
fatty	O
fish	O
(	O
herring	O
/	O
mackerel	O
,	O
salmon	O
-	O
type	O
fish	O
),	O
the	O
strongest	O
inverse	O
association	O
was	O
found	O
for	O
an	O
intermediate	O
intake	O
(	O
RR	O
:	O
0	O
.	O
81	O
,	O
95	O
%	O
CI	O
,	O
0	O
.	O
66	O
-	O
0	O
.	O
98	O
),	O
whereas	O
a	O
high	O
intake	O
of	O
fatty	O
fish	O
was	O
associated	O
with	O
an	O
increased	O
risk	O
of	O
psychotic	O
-	O
like	O
symptoms	O
(	O
RR	O
:	O
1	O
.	O
90	O
,	O
95	O
%	O
CI	O
,	O
1	O
.	O
34	O
-	O
2	O
.	O
70	O
).	O

2007	O
).	O

Because	O
of	O
notable	O
differences	O
in	O
vitamin	O
D	O
concentrations	O
between	O
African	O
Americans	O
and	O
Whites	O
,	O
analyses	O
were	O
stratified	O
by	O
race	O
.	O

As	O
shown	O
in	O
Table	O
1	O
,	O
the	O
age	O
was	O
33	O
.	O
4	O
±	O
4	O
.	O
1	O
years	O
old	O
(	O
ranges	O
from	O
24	O
to	O
46	O
years	O
old	O
),	O
the	O
gestational	O
weeks	O
were	O
29	O
.	O
0	O
±	O
3	O
.	O
3	O
weeks	O
(	O
ranges	O
from	O
14	O
to	O
39	O
weeks	O
),	O
pre	O
-	O
pregnancy	O
BMI	O
was	O
23	O
.	O
0	O
±	O
3	O
.	O
7	O
(	O
ranges	O
from	O
15	O
.	O
6	O
to	O
37	O
.	O
2	O
)	O
kg	O
/	O
m2	O
.	O

Interactions	O
between	O
time	O
and	O
sex	O
[	O
F	O
(	O
3	O
,	O
71	O
)=	O
34	O
.	O
005	O
,	O
P	O
<	O
0	O
.	O
01	O
],	O
and	O
diet	O
and	O
sex	O
[	O
F	O
(	O
1	O
,	O
73	O
)=	O
4	O
.	O
58	O
,	O
P	O
<	O
0	O
.	O
05	O
]	O
were	O
found	O
.	O

Then	O
,	O
they	O
were	O
provided	O
with	O
two	O
small	O
cans	O
containing	O
both	O
types	O
of	O
food	O
that	O
were	O
previously	O
weighed	O
.	O

All	O
the	O
investigators	O
will	O
have	O
the	O
right	O
to	O
analyse	O
and	O
publish	O
data	O
.	O

Concerning	O
to	O
cumulative	O
caloric	O
intake	O
relative	O
to	O
body	O
weight	O
during	O
the	O
post	O
-	O
weaning	O
period	O
(	O
Figure2D	O
),	O
we	O
found	O
a	O
main	O
effect	O
of	O
time	O
[	O
F	O
(	O
15	O
,	O
59	O
)=	O
1712	O
.	O
38	O
,	O
P	O
<	O
0	O
.	O
001	O
]	O
and	O
sex	O
[	O
F	O
(	O
1	O
,	O
73	O
)=	O
30	O
.	O
20	O
,	O
P	O
<	O
0	O
.	O
001	O
].	O

In	O
addition	O
,	O
nutritional	O
restriction	O
during	O
early	O
and	O
mid	O
gestation	O
reduced	O
ovarian	O
characteristics	O
(	O
wet	O
ovary	O
weight	O
,	O
luteal	O
tissue	O
weight	O
)	O
of	O
heifers	O
,	O
